visit.id,GU,model,species,lifestage,area.delft,hab.area.suitable,pred.fish,pred.fish.suitable,med,mean,sd,med.suitable,mean.suitable,sd.suitable
1027,Pool,fuzzy,steelhead,spawner,185.84,155.41,10,10,0.728,0.656,0.205,0.746,0.728,0.135
1027,Riffle,fuzzy,steelhead,spawner,301.65000000000003,258.39,7,7,0.608,0.592,0.192,0.644,0.651,0.127
1027,Transition,fuzzy,steelhead,spawner,333.06,176.72,0,0,0.418,0.407,0.209,0.56,0.566,0.113
1027,Bank,fuzzy,chinook,juvenile,211.33,38.192,50,50,0.269,0.315,0.244,0.564,0.584,0.125
1027,Glide-Run,fuzzy,chinook,juvenile,362.09000000000003,76.87,60,60,0.2,0.244,0.178,0.501,0.526,0.102
1027,Margin Attached Bar,fuzzy,chinook,juvenile,235.21,11.709999999999999,2,2,0.078,0.166,0.16,0.514,0.529,0.092
1027,Mid Channel Bar,fuzzy,chinook,juvenile,15.32,0,0,0,0.078,0.08,0.017,NA,NA,NA
1027,Pocket Pool,fuzzy,chinook,juvenile,1.16,0.43,0,0,0.354,0.391,0.121,0.508,0.524,0.091
1027,Pool,fuzzy,chinook,juvenile,185.84,30.5,24,24,0.201,0.24,0.168,0.476,0.521,0.119
1027,Riffle,fuzzy,chinook,juvenile,301.65000000000003,68.88,34,34,0.27,0.274,0.16,0.467,0.493,0.091
1027,Transition,fuzzy,chinook,juvenile,333.06,122.259,140,140,0.339,0.339,0.199,0.522,0.549,0.114
1029,Bank,nrei,steelhead,juvenile,141.78,12.859,6,6,-13.101,-1.984,37.531,36.66,40.771,26.138
1029,Chute,nrei,steelhead,juvenile,57.44,7.8100000000000005,12,12,-48.847,-93.03,107.163,22.314,24.25,25.787
1029,Glide-Run,nrei,steelhead,juvenile,422.283,178.561,101,101,14.202,-8.926,92.154,51.608,48.051,27.119
1029,Margin Attached Bar,nrei,steelhead,juvenile,245.33,2.21,1,1,-22.992,-27.219,60.728,23.877,31.465,23.5
1029,Mid Channel Bar,nrei,steelhead,juvenile,187.038,1.468,0,0,-35.012,-56.14,67.369,13.563,19.173,18.331
1029,Pocket Pool,nrei,steelhead,juvenile,10.26,3.75,3,3,-17.922,-18.204,87.079,65.869,58.66,22.633
1029,Pond,nrei,steelhead,juvenile,8.47,NA,0,0,-36.835,-36.414,0.822,NA,NA,NA
1029,Pool,nrei,steelhead,juvenile,179.11,136.25,78,78,63.335,43.706,51.996,71.585,65.788,23.29
1029,Riffle,nrei,steelhead,juvenile,103.52,24.89,17,17,-26.198,-33.748,80.216,39.243,36.646,27.526
1029,Transition,nrei,steelhead,juvenile,314.43899999999996,42.602000000000004,19,19,-12.47,-14.643,72.227,42.815,40.091,29.174
1029,Bank,fuzzy,chinook,spawner,141.78,18.749,1,1,0.078,0.244,0.223,0.57,0.571,0.095
1029,Chute,fuzzy,chinook,spawner,57.44,16.13,0,0,0.312,0.335,0.183,0.525,0.532,0.096
1029,Glide-Run,fuzzy,chinook,spawner,422.283,203.621,1,1,0.406,0.402,0.246,0.612,0.613,0.126
1029,Margin Attached Bar,fuzzy,chinook,spawner,245.33,3.85,0,0,0.078,0.152,0.16,0.522,0.551,0.115
1029,Mid Channel Bar,fuzzy,chinook,spawner,187.038,0.393,0,0,0.078,0.097,0.069,0.569,0.566,0.089
1029,Pocket Pool,fuzzy,chinook,spawner,10.26,6.02,0,0,0.489,0.456,0.295,0.697,0.678,0.148
1029,Pond,fuzzy,chinook,spawner,8.47,NA,0,0,0.078,0.078,0,NA,NA,NA
1029,Pool,fuzzy,chinook,spawner,179.11,137.4,8,8,0.665,0.567,0.265,0.689,0.697,0.12
1029,Riffle,fuzzy,chinook,spawner,103.52,38.57,1,1,0.317,0.345,0.257,0.598,0.606,0.123
1029,Transition,fuzzy,chinook,spawner,314.43899999999996,48.177,0,0,0.078,0.224,0.209,0.561,0.578,0.124
1029,Bank,fuzzy,steelhead,spawner,141.78,18.749,1,1,0.078,0.244,0.223,0.57,0.571,0.095
1029,Chute,fuzzy,steelhead,spawner,57.44,16.13,0,0,0.312,0.335,0.183,0.525,0.532,0.096
1029,Glide-Run,fuzzy,steelhead,spawner,422.283,203.621,2,2,0.406,0.402,0.246,0.612,0.613,0.126
1029,Margin Attached Bar,fuzzy,steelhead,spawner,245.33,3.85,0,0,0.078,0.152,0.16,0.522,0.551,0.115
1029,Mid Channel Bar,fuzzy,steelhead,spawner,187.038,0.393,0,0,0.078,0.097,0.069,0.569,0.566,0.089
1029,Pocket Pool,fuzzy,steelhead,spawner,10.26,6.02,1,1,0.489,0.456,0.295,0.697,0.678,0.148
1029,Pond,fuzzy,steelhead,spawner,8.47,NA,0,0,0.078,0.078,0,NA,NA,NA
1029,Pool,fuzzy,steelhead,spawner,179.11,137.4,10,10,0.665,0.567,0.265,0.689,0.697,0.12
1029,Riffle,fuzzy,steelhead,spawner,103.52,38.57,1,1,0.317,0.345,0.257,0.598,0.606,0.123
1029,Transition,fuzzy,steelhead,spawner,314.43899999999996,48.177,0,0,0.078,0.224,0.209,0.561,0.578,0.124
1029,Bank,fuzzy,chinook,juvenile,141.78,27.858999999999998,21,21,0.261,0.34,0.275,0.651,0.637,0.126
1029,Chute,fuzzy,chinook,juvenile,57.44,6.1,0,0,0.085,0.185,0.158,0.493,0.51,0.085
1029,Glide-Run,fuzzy,chinook,juvenile,422.283,157.5,103,103,0.269,0.324,0.248,0.586,0.598,0.13
1029,Margin Attached Bar,fuzzy,chinook,juvenile,245.33,4.88,6,6,0.078,0.175,0.2,0.621,0.626,0.133
1029,Mid Channel Bar,fuzzy,chinook,juvenile,187.038,0.453,0,0,0.078,0.09,0.075,0.594,0.615,0.144
1029,Pocket Pool,fuzzy,chinook,juvenile,10.26,4.01,0,0,0.196,0.294,0.223,0.555,0.549,0.084
1029,Pond,fuzzy,chinook,juvenile,8.47,8.47,4,4,0.692,0.696,0.032,0.692,0.696,0.032
1029,Pool,fuzzy,chinook,juvenile,179.11,148.85,272,272,0.661,0.62,0.213,0.694,0.692,0.142
1029,Riffle,fuzzy,chinook,juvenile,103.52,11.36,5,5,0.084,0.184,0.174,0.53,0.561,0.129
1029,Transition,fuzzy,chinook,juvenile,314.43899999999996,42.307,21,21,0.078,0.205,0.204,0.563,0.583,0.129
1096,Bank,nrei,steelhead,juvenile,1160.3500000000001,25.83,30,30,2.228,12.428,41.947,51.564,52.461,26.499
1096,Chute,nrei,steelhead,juvenile,17.71,2.76,5,5,33.567,35,40.635,64.984,58.969,27.327
1096,Glide-Run,nrei,steelhead,juvenile,7454.698,1336.9840000000002,2596,2596,59.052,42.222,65.674,64.641,60.729,23.858
1096,Margin Attached Bar,nrei,steelhead,juvenile,4839.04,10.8,23,23,-23.492,-16.557,21.518,23.226,31.634,25.498
1096,Pool,nrei,steelhead,juvenile,1771.87,424.59,835,835,82.05,70.026,44.832,82.386,77.612,16.888
1096,Riffle,nrei,steelhead,juvenile,345.78,75.93,135,135,75.518,55.454,76.818,76.895,75.557,14.078
1096,Transition,nrei,steelhead,juvenile,2468.23,104.20599999999999,178,178,3.562,6.02,42.268,34.769,39.993,24.69
1096,Bank,fuzzy,chinook,spawner,1160.3500000000001,92.60199999999999,6,6,0.276,0.311,0.237,0.579,0.586,0.128
1096,Chute,fuzzy,chinook,spawner,17.71,2.79,0,0,0.39,0.376,0.065,0.421,0.433,0.032
1096,Glide-Run,fuzzy,chinook,spawner,7454.698,4559.893,97,97,0.467,0.449,0.178,0.547,0.554,0.097
1096,Margin Attached Bar,fuzzy,chinook,spawner,4839.04,51.11,0,0,0.078,0.167,0.137,0.474,0.494,0.077
1096,Pool,fuzzy,chinook,spawner,1771.87,1292.8799999999999,23,23,0.511,0.501,0.127,0.54,0.555,0.096
1096,Riffle,fuzzy,chinook,spawner,345.78,320.1,10,10,0.594,0.582,0.109,0.605,0.604,0.078
1096,Transition,fuzzy,chinook,spawner,2468.23,443.656,4,4,0.339,0.335,0.187,0.534,0.535,0.083
1096,Bank,fuzzy,steelhead,spawner,1160.3500000000001,92.60199999999999,6,6,0.276,0.311,0.237,0.579,0.586,0.128
1096,Chute,fuzzy,steelhead,spawner,17.71,2.79,0,0,0.39,0.376,0.065,0.421,0.433,0.032
1096,Glide-Run,fuzzy,steelhead,spawner,7454.698,4559.893,140,140,0.467,0.449,0.178,0.547,0.554,0.097
1096,Margin Attached Bar,fuzzy,steelhead,spawner,4839.04,51.11,0,0,0.078,0.167,0.137,0.474,0.494,0.077
1096,Pool,fuzzy,steelhead,spawner,1771.87,1292.8799999999999,26,26,0.511,0.501,0.127,0.54,0.555,0.096
1096,Riffle,fuzzy,steelhead,spawner,345.78,320.1,17,17,0.594,0.582,0.109,0.605,0.604,0.078
1096,Transition,fuzzy,steelhead,spawner,2468.23,443.656,6,6,0.339,0.335,0.187,0.534,0.535,0.083
1096,Bank,fuzzy,chinook,juvenile,1160.3500000000001,172.22199999999998,318,318,0.656,0.519,0.289,0.7,0.707,0.115
1096,Chute,fuzzy,chinook,juvenile,17.71,7.75,16,16,0.73,0.72,0.085,0.73,0.72,0.085
1096,Glide-Run,fuzzy,chinook,juvenile,7454.698,4004.585,3879,3879,0.453,0.445,0.245,0.62,0.625,0.136
1096,Margin Attached Bar,fuzzy,chinook,juvenile,4839.04,190.77,41,41,0.236,0.286,0.217,0.522,0.545,0.104
1096,Pool,fuzzy,chinook,juvenile,1771.87,1503.1499999999999,2045,2045,0.652,0.613,0.199,0.672,0.671,0.128
1096,Riffle,fuzzy,chinook,juvenile,345.78,262.4,234,234,0.527,0.517,0.209,0.581,0.61,0.128
1096,Transition,fuzzy,chinook,juvenile,2468.23,672.7919999999999,687,687,0.521,0.449,0.269,0.666,0.654,0.118
1164,Bank,nrei,steelhead,juvenile,89.44,NA,0,0,-33.301,-32.084,5.496,NA,NA,NA
1164,Glide-Run,nrei,steelhead,juvenile,302.833,74.67,36,36,-5.893,-5.048,33.035,18.424,19.7,22.687
1164,Margin Attached Bar,nrei,steelhead,juvenile,181.52,NA,0,0,-28.089,-28.253,9.092,NA,NA,NA
1164,Pocket Pool,nrei,steelhead,juvenile,6.93,5.07,6,6,56.768,52.897,17.097,57.57,53.517,16.034
1164,Pool,nrei,steelhead,juvenile,38.04,35.52,25,25,53.226,48.912,23.7,54.804,52.549,18.119
1164,Rapid,nrei,steelhead,juvenile,48.129999999999995,9.23,6,6,-9.164,-16.115,56.266,15.727,17.979,21.459
1164,Riffle,nrei,steelhead,juvenile,8.219999999999999,3.05,2,2,-5.558,-8.392,35.567,13.651,10.794,36.325
1164,Transition,nrei,steelhead,juvenile,192.767,1.31,0,0,-31.442,-32.658,31.1,8.049,7.18,18.304
1164,Bank,fuzzy,chinook,spawner,89.44,0.02,0,0,0.18,0.183,0.039,0.402,0.402,0.003
1164,Glide-Run,fuzzy,chinook,spawner,302.833,48.94,1,1,0.23,0.27,0.124,0.48,0.491,0.064
1164,Margin Attached Bar,fuzzy,chinook,spawner,181.52,NA,0,0,0.078,0.093,0.045,NA,NA,NA
1164,Pocket Pool,fuzzy,chinook,spawner,6.93,3.86,0,0,0.528,0.505,0.136,0.568,0.574,0.071
1164,Pool,fuzzy,chinook,spawner,38.04,26.35,0,0,0.533,0.483,0.143,0.556,0.568,0.075
1164,Rapid,fuzzy,chinook,spawner,48.129999999999995,2.1500000000000004,0,0,0.23,0.247,0.08,0.434,0.463,0.065
1164,Riffle,fuzzy,chinook,spawner,8.219999999999999,2.27,0,0,0.304,0.324,0.098,0.457,0.456,0.027
1164,Transition,fuzzy,chinook,spawner,192.767,0.74,0,0,0.195,0.192,0.067,0.425,0.434,0.028
1164,Bank,fuzzy,steelhead,spawner,89.44,0.03,0,0,0.078,0.082,0.031,0.429,0.428,0.007
1164,Glide-Run,fuzzy,steelhead,spawner,302.833,54.4,0,0,0.078,0.206,0.176,0.498,0.506,0.069
1164,Margin Attached Bar,fuzzy,steelhead,spawner,181.52,NA,0,0,0.078,0.078,0.002,NA,NA,NA
1164,Pocket Pool,fuzzy,steelhead,spawner,6.93,3.86,0,0,0.56,0.46,0.227,0.61,0.584,0.072
1164,Pool,fuzzy,steelhead,spawner,38.04,25.35,2,2,0.553,0.429,0.232,0.571,0.583,0.069
1164,Rapid,fuzzy,steelhead,spawner,48.129999999999995,3.03,0,0,0.078,0.162,0.132,0.464,0.482,0.067
1164,Riffle,fuzzy,steelhead,spawner,8.219999999999999,2.52,0,0,0.266,0.278,0.15,0.46,0.454,0.022
1164,Transition,fuzzy,steelhead,spawner,192.767,0.74,0,0,0.078,0.094,0.065,0.425,0.434,0.028
1164,Bank,fuzzy,chinook,juvenile,89.44,0.15000000000000002,0,0,0.078,0.089,0.058,0.493,0.477,0.036
1164,Glide-Run,fuzzy,chinook,juvenile,302.833,54.03,9,9,0.078,0.216,0.166,0.466,0.481,0.065
1164,Margin Attached Bar,fuzzy,chinook,juvenile,181.52,NA,0,0,0.078,0.078,0.001,NA,NA,NA
1164,Pocket Pool,fuzzy,chinook,juvenile,6.93,4.8,0,0,0.472,0.468,0.046,0.476,0.474,0.041
1164,Pool,fuzzy,chinook,juvenile,38.04,36.48,76,76,0.536,0.538,0.079,0.54,0.546,0.07
1164,Rapid,fuzzy,chinook,juvenile,48.129999999999995,5.85,0,0,0.15,0.215,0.15,0.453,0.457,0.039
1164,Riffle,fuzzy,chinook,juvenile,8.219999999999999,1.5,0,0,0.278,0.262,0.134,0.437,0.441,0.026
1164,Transition,fuzzy,chinook,juvenile,192.767,0.01,0,0,0.078,0.087,0.04,0.413,0.413,0
1175,Bank,nrei,steelhead,juvenile,83.35,0.08,0,0,-31.349,-27.858,10.925,11.141,9.029,8.056
1175,Glide-Run,nrei,steelhead,juvenile,300.354,45.25,24,24,-10.667,-10.947,22.867,12.041,12.929,12.084
1175,Margin Attached Bar,nrei,steelhead,juvenile,175.117,NA,0,0,-34.556,-33.371,3.962,NA,NA,NA
1175,Mid Channel Bar,nrei,steelhead,juvenile,87.61,NA,0,0,-36.29,-36.181,1.192,NA,NA,NA
1175,Pocket Pool,nrei,steelhead,juvenile,10.07,8.76,10,10,23.686,22.29,18.157,25.404,26.631,13.948
1175,Pool,nrei,steelhead,juvenile,62.12,46.03,24,24,30.521,27.515,21.866,32.824,33.485,14.191
1175,Rapid,nrei,steelhead,juvenile,55.72,3.38,2,2,-22.427,-23.419,29.193,11.025,7.764,25.841
1175,Riffle,nrei,steelhead,juvenile,26.55,2.91,1,1,-7.855,-5.437,18.034,12.576,14.859,11.489
1175,Transition,nrei,steelhead,juvenile,228.16,0.97,1,1,-28.891,-26.222,11.587,16.526,16.008,8.494
1175,Bank,fuzzy,chinook,spawner,83.35,0.02,0,0,0.078,0.114,0.068,0.407,0.407,0.003
1175,Glide-Run,fuzzy,chinook,spawner,300.354,23.64,0,0,0.208,0.207,0.119,0.458,0.465,0.047
1175,Margin Attached Bar,fuzzy,chinook,spawner,175.117,NA,0,0,0.078,0.079,0.013,NA,NA,NA
1175,Mid Channel Bar,fuzzy,chinook,spawner,87.61,NA,0,0,0.208,0.208,0,NA,NA,NA
1175,Pocket Pool,fuzzy,chinook,spawner,10.07,5.76,0,0,0.437,0.407,0.116,0.486,0.491,0.05
1175,Pool,fuzzy,chinook,spawner,62.12,34.51,1,1,0.432,0.432,0.206,0.572,0.572,0.123
1175,Rapid,fuzzy,chinook,spawner,55.72,2.51,0,0,0.209,0.208,0.093,0.432,0.439,0.029
1175,Riffle,fuzzy,chinook,spawner,26.55,0.98,0,0,0.078,0.177,0.127,0.416,0.42,0.018
1175,Transition,fuzzy,chinook,spawner,228.16,0.52,0,0,0.078,0.135,0.077,0.475,0.481,0.049
1175,Bank,fuzzy,steelhead,spawner,83.35,0.04,0,0,0.078,0.092,0.053,0.416,0.42,0.017
1175,Glide-Run,fuzzy,steelhead,spawner,300.354,24.150000000000002,0,0,0.078,0.16,0.132,0.467,0.467,0.045
1175,Margin Attached Bar,fuzzy,steelhead,spawner,175.117,NA,0,0,0.078,0.078,0,NA,NA,NA
1175,Mid Channel Bar,fuzzy,steelhead,spawner,87.61,NA,0,0,0.078,0.078,0,NA,NA,NA
1175,Pocket Pool,fuzzy,steelhead,spawner,10.07,5.88,0,0,0.444,0.373,0.17,0.49,0.492,0.05
1175,Pool,fuzzy,steelhead,spawner,62.12,34.47,1,1,0.434,0.415,0.225,0.572,0.573,0.122
1175,Rapid,fuzzy,steelhead,spawner,55.72,3.12,0,0,0.078,0.127,0.112,0.461,0.457,0.035
1175,Riffle,fuzzy,steelhead,spawner,26.55,1.06,0,0,0.078,0.178,0.129,0.419,0.428,0.022
1175,Transition,fuzzy,steelhead,spawner,228.16,0.52,0,0,0.078,0.089,0.051,0.475,0.481,0.049
1175,Bank,fuzzy,chinook,juvenile,83.35,0.26,0,0,0.078,0.105,0.09,0.456,0.471,0.065
1175,Glide-Run,fuzzy,chinook,juvenile,300.354,26.18,2,2,0.078,0.171,0.142,0.464,0.483,0.068
1175,Margin Attached Bar,fuzzy,chinook,juvenile,175.117,0,0,0,0.078,0.078,0,NA,NA,NA
1175,Mid Channel Bar,fuzzy,chinook,juvenile,87.61,NA,0,0,0.078,0.078,0,NA,NA,NA
1175,Pocket Pool,fuzzy,chinook,juvenile,10.07,7.28,2,2,0.47,0.468,0.118,0.5,0.517,0.084
1175,Pool,fuzzy,chinook,juvenile,62.12,48.02,77,77,0.564,0.538,0.199,0.603,0.614,0.116
1175,Rapid,fuzzy,chinook,juvenile,55.72,3.22,0,0,0.078,0.126,0.112,0.459,0.469,0.05
1175,Riffle,fuzzy,chinook,juvenile,26.55,1.49,0,0,0.078,0.172,0.143,0.478,0.485,0.061
1175,Transition,fuzzy,chinook,juvenile,228.16,1.7,0,0,0.078,0.095,0.07,0.472,0.489,0.07
1448,Bank,nrei,steelhead,juvenile,223.01,6.36,15,15,-3.295,3.712,38.655,39.199,39.325,24.958
1448,Chute,nrei,steelhead,juvenile,61.295,10.850000000000001,21,21,40.244,30.512,35.872,47.66,45.798,18.87
1448,Glide-Run,nrei,steelhead,juvenile,888.586,104.84,287,287,13.131,-40.145,130.611,55.563,50.956,32.596
1448,Margin Attached Bar,nrei,steelhead,juvenile,1181.159,6.29,5,5,-20.801,-10.728,27.839,28.008,31.726,20.274
1448,Mid Channel Bar,nrei,steelhead,juvenile,73.4,0.08,0,0,-29.177,-29.965,22.156,8.708,8.792,6.04
1448,Pocket Pool,nrei,steelhead,juvenile,2.41,0.34,0,0,35.244,32.951,42.669,73.739,64.616,23.134
1448,Pond,nrei,steelhead,juvenile,4.81,1.03,3,3,64.263,57.796,33.93,70.533,65.739,25.817
1448,Pool,nrei,steelhead,juvenile,606.32,98.34,285,285,39.331,-23.425,126.003,58.425,45.817,50.605
1448,Riffle,nrei,steelhead,juvenile,171.98000000000002,20.06,60,60,-16.293,-75.383,146.541,42.612,37.16,38.523
1448,Transition,nrei,steelhead,juvenile,684.58,61.31,128,128,20.039,8.197,65.028,48.111,44.632,31.389
1448,Bank,fuzzy,chinook,spawner,223.01,40.341,3,3,0.412,0.402,0.22,0.568,0.585,0.119
1448,Chute,fuzzy,chinook,spawner,61.295,6.12,0,0,0.352,0.311,0.142,0.436,0.51,0.124
1448,Glide-Run,fuzzy,chinook,spawner,888.586,436.519,4,4,0.412,0.394,0.167,0.53,0.527,0.08
1448,Margin Attached Bar,fuzzy,chinook,spawner,1181.159,34.98,1,1,0.144,0.223,0.179,0.503,0.525,0.097
1448,Mid Channel Bar,fuzzy,chinook,spawner,73.4,6.43,0,0,0.16,0.225,0.176,0.511,0.502,0.05
1448,Pocket Pool,fuzzy,chinook,spawner,2.41,1.31,0,0,0.438,0.351,0.179,0.502,0.494,0.033
1448,Pond,fuzzy,chinook,spawner,4.81,NA,0,0,0.078,0.079,0.002,NA,NA,NA
1448,Pool,fuzzy,chinook,spawner,606.32,395.09999999999997,12,12,0.506,0.481,0.189,0.584,0.595,0.111
1448,Riffle,fuzzy,chinook,spawner,171.98000000000002,116.15,3,3,0.479,0.475,0.187,0.561,0.574,0.123
1448,Transition,fuzzy,chinook,spawner,684.58,200.22,2,2,0.301,0.327,0.217,0.537,0.557,0.117
1448,Bank,fuzzy,steelhead,spawner,223.01,40.381,6,6,0.412,0.399,0.225,0.568,0.585,0.119
1448,Chute,fuzzy,steelhead,spawner,61.295,6.12,0,0,0.352,0.311,0.142,0.436,0.51,0.124
1448,Glide-Run,fuzzy,steelhead,spawner,888.586,428.389,3,3,0.407,0.387,0.17,0.523,0.524,0.08
1448,Margin Attached Bar,fuzzy,steelhead,spawner,1181.159,34.86,1,1,0.078,0.219,0.181,0.502,0.525,0.097
1448,Mid Channel Bar,fuzzy,steelhead,spawner,73.4,6.43,0,0,0.078,0.217,0.18,0.511,0.502,0.05
1448,Pocket Pool,fuzzy,steelhead,spawner,2.41,1.31,0,0,0.438,0.351,0.179,0.502,0.494,0.033
1448,Pond,fuzzy,steelhead,spawner,4.81,NA,0,0,0.078,0.079,0.002,NA,NA,NA
1448,Pool,fuzzy,steelhead,spawner,606.32,394.51,17,17,0.504,0.481,0.189,0.584,0.595,0.111
1448,Riffle,fuzzy,steelhead,spawner,171.98000000000002,116.15,5,5,0.479,0.475,0.187,0.561,0.574,0.123
1448,Transition,fuzzy,steelhead,spawner,684.58,200.33,3,3,0.3,0.32,0.223,0.537,0.558,0.117
1448,Bank,fuzzy,chinook,juvenile,223.01,38.571,72,72,0.391,0.401,0.275,0.653,0.647,0.148
1448,Chute,fuzzy,chinook,juvenile,61.295,30.575,11,11,0.558,0.463,0.224,0.619,0.608,0.086
1448,Glide-Run,fuzzy,chinook,juvenile,888.586,287.869,198,198,0.211,0.315,0.231,0.59,0.596,0.124
1448,Margin Attached Bar,fuzzy,chinook,juvenile,1181.159,51.755,45,45,0.078,0.258,0.239,0.586,0.598,0.127
1448,Mid Channel Bar,fuzzy,chinook,juvenile,73.4,1.68,0,0,0.078,0.178,0.129,0.428,0.435,0.028
1448,Pocket Pool,fuzzy,chinook,juvenile,2.41,2.41,4,4,0.694,0.705,0.072,0.694,0.705,0.072
1448,Pond,fuzzy,chinook,juvenile,4.81,4.15,3,3,0.681,0.613,0.186,0.683,0.676,0.049
1448,Pool,fuzzy,chinook,juvenile,606.32,278.93,447,447,0.369,0.39,0.277,0.662,0.655,0.147
1448,Riffle,fuzzy,chinook,juvenile,171.98000000000002,33.96,6,6,0.088,0.221,0.182,0.512,0.527,0.1
1448,Transition,fuzzy,chinook,juvenile,684.58,200.909,168,168,0.291,0.332,0.254,0.6,0.611,0.134
1486,Bank,nrei,steelhead,juvenile,490.84999999999997,41.06,93,93,40.908,24.783,64.902,55.83,52.173,29.871
1486,Glide-Run,nrei,steelhead,juvenile,1582.55,90.91999999999999,309,309,-159.125,-144.801,155.786,46.778,33.737,54.621
1486,Margin Attached Bar,nrei,steelhead,juvenile,371.88,31.09,47,46,56.549,34.639,59.792,67.557,61.399,23.089
1486,Mid Channel Bar,nrei,steelhead,juvenile,51.09,2.97,7,7,4.899,0.524,51.9,21.261,22.333,15.114
1486,Pocket Pool,nrei,steelhead,juvenile,3.25,NA,0,0,-188.276,-210.62,41.978,NA,NA,NA
1486,Pool,nrei,steelhead,juvenile,391.62,57.56,290,290,4.726,-74.716,156.619,34.388,8.579,66.225
1486,Riffle,nrei,steelhead,juvenile,40.56,1,8,8,-182.452,-163.465,96.199,29,-1.888,104.313
1486,Transition,nrei,steelhead,juvenile,338.46,37.75,90,90,-12.512,-72.672,143.953,57.42,50.852,35.182
1486,Bank,fuzzy,chinook,spawner,490.84999999999997,65.069,5,5,0.426,0.473,0.195,0.606,0.617,0.162
1486,Glide-Run,fuzzy,chinook,spawner,1582.55,485.161,3,3,0.3,0.368,0.117,0.454,0.487,0.097
1486,Margin Attached Bar,fuzzy,chinook,spawner,371.88,20.87,0,0,0.3,0.318,0.054,0.454,0.448,0.018
1486,Pocket Pool,fuzzy,chinook,spawner,3.25,1.69,0,0,0.454,0.386,0.102,0.454,0.452,0.006
1486,Pool,fuzzy,chinook,spawner,391.62,184.37,7,7,0.435,0.486,0.205,0.67,0.667,0.11
1486,Riffle,fuzzy,chinook,spawner,40.56,NA,0,0,0.3,0.297,0.013,NA,NA,NA
1486,Transition,fuzzy,chinook,spawner,338.46,20.13,0,0,0.3,0.31,0.059,0.454,0.457,0.051
1486,Bank,fuzzy,steelhead,spawner,490.84999999999997,50.649,5,5,0.366,0.418,0.24,0.69,0.662,0.156
1486,Glide-Run,fuzzy,steelhead,spawner,1582.55,260.05,3,3,0.249,0.297,0.15,0.424,0.501,0.134
1486,Margin Attached Bar,fuzzy,steelhead,spawner,371.88,2.25,0,0,0.219,0.188,0.103,0.406,0.422,0.045
1486,Pocket Pool,fuzzy,steelhead,spawner,3.25,0.85,0,0,0.393,0.322,0.131,0.415,0.415,0.009
1486,Pool,fuzzy,steelhead,spawner,391.62,173.87,6,6,0.388,0.41,0.28,0.676,0.679,0.101
1486,Riffle,fuzzy,steelhead,spawner,40.56,NA,0,0,0.203,0.174,0.061,NA,NA,NA
