visit.id,UnitForm,model,species,lifestage,area.delft,hab.area.suitable,pred.fish,pred.fish.suitable,med,mean,sd,med.suitable,mean.suitable,sd.suitable
1029,Plane,fuzzy,steelhead,spawner,287.28,70.67,0,0,0.212,0.28,0.224,0.563,0.58,0.127
1029,Saddle,fuzzy,steelhead,spawner,102.81,38.02,1,1,0.313,0.344,0.258,0.601,0.607,0.123
1029,Trough,fuzzy,steelhead,spawner,288.14,152.491,2,2,0.473,0.441,0.248,0.628,0.623,0.125
1029,Wall,fuzzy,steelhead,spawner,135.14,16.849,1,1,0.078,0.241,0.226,0.58,0.579,0.095
1029,Bowl,fuzzy,chinook,juvenile,197.02,161.02,276,276,0.659,0.607,0.222,0.69,0.689,0.139
1029,Bowl Transition,fuzzy,chinook,juvenile,82.85,14.5,0,0,0.084,0.203,0.196,0.565,0.574,0.114
1029,Mound,fuzzy,chinook,juvenile,430.73,7.78,6,6,0.078,0.159,0.189,0.656,0.637,0.122
1029,Mound Transition,fuzzy,chinook,juvenile,145.7,12.14,9,9,0.078,0.169,0.192,0.624,0.616,0.134
1029,Plane,fuzzy,chinook,juvenile,287.28,54.74,34,34,0.099,0.24,0.218,0.578,0.593,0.135
1029,Saddle,fuzzy,chinook,juvenile,102.81,11.01,5,5,0.084,0.183,0.174,0.534,0.563,0.13
1029,Trough,fuzzy,chinook,juvenile,288.14,125.202,81,81,0.384,0.366,0.247,0.574,0.592,0.129
1029,Wall,fuzzy,chinook,juvenile,135.14,25.399,21,21,0.25,0.337,0.274,0.644,0.634,0.129
1096,Bowl,nrei,steelhead,juvenile,1771.87,424.59,835,835,82.05,70.026,44.832,82.386,77.612,16.888
1096,Bowl Transition,nrei,steelhead,juvenile,1052.47,200.31,503,503,56.675,19.397,111.983,63.973,60.308,25.575
1096,Mound,nrei,steelhead,juvenile,4839.04,10.8,23,23,-23.492,-16.557,21.518,23.226,31.634,25.498
1096,Mound Transition,nrei,steelhead,juvenile,1828.94,66.89,131,131,-5.369,0.08,34.87,28.968,34.895,24.081
1096,Plane,nrei,steelhead,juvenile,3540.6,480.83000000000004,801,801,41.663,34.973,39.09,49.419,49.471,22.48
1096,Saddle,nrei,steelhead,juvenile,345.78,75.93,135,135,75.518,55.454,76.818,76.895,75.557,14.078
1096,Trough,nrei,steelhead,juvenile,3521.2290000000003,696.12,1345,1345,68.518,52.75,50.194,72.226,65.904,22.269
1096,Wall,nrei,steelhead,juvenile,1160.3500000000001,25.83,30,30,2.228,12.428,41.947,51.564,52.461,26.499
1096,Bowl,fuzzy,chinook,spawner,1771.87,1292.8799999999999,23,23,0.511,0.501,0.127,0.54,0.555,0.096
1096,Bowl Transition,fuzzy,chinook,spawner,1052.47,809.79,43,43,0.6,0.563,0.178,0.637,0.632,0.11
1096,Mound,fuzzy,chinook,spawner,4839.04,51.11,0,0,0.078,0.167,0.137,0.474,0.494,0.077
1096,Mound Transition,fuzzy,chinook,spawner,1828.94,258.171,4,4,0.275,0.305,0.183,0.538,0.54,0.095
1096,Plane,fuzzy,chinook,spawner,3540.6,1516.691,15,15,0.406,0.381,0.177,0.509,0.52,0.084
1096,Saddle,fuzzy,chinook,spawner,345.78,320.1,10,10,0.594,0.582,0.109,0.605,0.604,0.078
1096,Trough,fuzzy,chinook,spawner,3521.2290000000003,2422.228,39,39,0.497,0.475,0.151,0.549,0.547,0.083
1096,Wall,fuzzy,chinook,spawner,1160.3500000000001,92.60199999999999,6,6,0.276,0.311,0.237,0.579,0.586,0.128
1096,Bowl,fuzzy,steelhead,spawner,1771.87,1292.8799999999999,26,26,0.511,0.501,0.127,0.54,0.555,0.096
1096,Bowl Transition,fuzzy,steelhead,spawner,1052.47,809.79,60,60,0.6,0.563,0.178,0.637,0.632,0.11
1096,Mound,fuzzy,steelhead,spawner,4839.04,51.11,0,0,0.078,0.167,0.137,0.474,0.494,0.077
1096,Mound Transition,fuzzy,steelhead,spawner,1828.94,258.171,3,3,0.275,0.305,0.183,0.538,0.54,0.095
1096,Plane,fuzzy,steelhead,spawner,3540.6,1516.691,29,29,0.406,0.381,0.177,0.509,0.52,0.084
1096,Saddle,fuzzy,steelhead,spawner,345.78,320.1,17,17,0.594,0.582,0.109,0.605,0.604,0.078
1096,Trough,fuzzy,steelhead,spawner,3521.2290000000003,2422.228,54,54,0.497,0.475,0.151,0.549,0.547,0.083
1096,Wall,fuzzy,steelhead,spawner,1160.3500000000001,92.60199999999999,6,6,0.276,0.311,0.237,0.579,0.586,0.128
1096,Bowl,fuzzy,chinook,juvenile,1771.87,1503.1499999999999,2045,2045,0.652,0.613,0.199,0.672,0.671,0.128
1096,Bowl Transition,fuzzy,chinook,juvenile,1052.47,441.46000000000004,363,363,0.351,0.375,0.243,0.61,0.611,0.135
1096,Mound,fuzzy,chinook,juvenile,4839.04,190.77,41,41,0.236,0.286,0.217,0.522,0.545,0.104
1096,Mound Transition,fuzzy,chinook,juvenile,1828.94,509.60100000000006,338,338,0.497,0.433,0.252,0.626,0.626,0.113
1096,Plane,fuzzy,chinook,juvenile,3540.6,1732.648,1784,1784,0.459,0.448,0.248,0.611,0.623,0.14
1096,Saddle,fuzzy,chinook,juvenile,345.78,262.4,234,234,0.527,0.517,0.209,0.581,0.61,0.128
1096,Trough,fuzzy,chinook,juvenile,3521.2290000000003,2002.279,2097,2097,0.493,0.469,0.246,0.645,0.64,0.133
1096,Wall,fuzzy,chinook,juvenile,1160.3500000000001,172.22199999999998,318,318,0.656,0.519,0.289,0.7,0.707,0.115
1164,Bowl,nrei,steelhead,juvenile,44.97,40.59,31,31,53.481,49.308,23.159,54.972,52.65,17.915
1164,Bowl Transition,nrei,steelhead,juvenile,103.06,52.14,28,28,8.918,-1.071,50.586,22.804,23.002,23.872
1164,Mound,nrei,steelhead,juvenile,195.84,NA,0,0,-29.778,-29.166,8.956,NA,NA,NA
1164,Mound Transition,nrei,steelhead,juvenile,86.58,0.04,0,0,-33.283,-38.107,29.404,1.752,-34.084,88.216
1164,Plane,nrei,steelhead,juvenile,183.23,3.67,1,1,-21.454,-21.08,19.686,4.8,5.562,4.508
1164,Saddle,nrei,steelhead,juvenile,8.219999999999999,3.05,2,2,-5.558,-8.392,35.567,13.651,10.794,36.325
1164,Trough,nrei,steelhead,juvenile,176.74,29.36,13,13,-9.572,-8.753,22.555,11.579,13.283,18.297
1164,Wall,nrei,steelhead,juvenile,91.61,NA,0,0,-33.032,-31.888,5.534,NA,NA,NA
1164,Bowl,fuzzy,chinook,spawner,44.97,30.21,0,0,0.532,0.485,0.142,0.556,0.568,0.074
1164,Bowl Transition,fuzzy,chinook,spawner,103.06,37.55,1,1,0.338,0.354,0.134,0.488,0.498,0.068
1164,Mound,fuzzy,chinook,spawner,195.84,NA,0,0,0.078,0.115,0.054,NA,NA,NA
1164,Mound Transition,fuzzy,chinook,spawner,86.58,NA,0,0,0.18,0.178,0.047,NA,NA,NA
1164,Plane,fuzzy,chinook,spawner,183.23,0.82,0,0,0.18,0.193,0.05,0.424,0.433,0.027
1164,Saddle,fuzzy,chinook,spawner,8.219999999999999,2.27,0,0,0.304,0.324,0.098,0.457,0.456,0.027
1164,Trough,fuzzy,chinook,spawner,176.74,13.46,0,0,0.205,0.24,0.096,0.461,0.465,0.044
1164,Wall,fuzzy,chinook,spawner,91.61,0.02,0,0,0.18,0.183,0.041,0.402,0.402,0.003
1164,Bowl,fuzzy,steelhead,spawner,44.97,29.21,2,2,0.553,0.433,0.232,0.572,0.583,0.07
1164,Bowl Transition,fuzzy,steelhead,spawner,103.06,40.699999999999996,0,0,0.336,0.32,0.19,0.508,0.514,0.073
1164,Mound,fuzzy,steelhead,spawner,195.84,NA,0,0,0.078,0.078,0.001,NA,NA,NA
1164,Mound Transition,fuzzy,steelhead,spawner,86.58,0,0,0,0.078,0.087,0.039,NA,NA,NA
1164,Plane,fuzzy,steelhead,spawner,183.23,0.86,0,0,0.078,0.095,0.061,0.426,0.436,0.03
1164,Saddle,fuzzy,steelhead,spawner,8.219999999999999,2.52,0,0,0.266,0.278,0.15,0.46,0.454,0.022
1164,Trough,fuzzy,steelhead,spawner,176.74,16.61,0,0,0.078,0.164,0.143,0.479,0.482,0.054
1164,Wall,fuzzy,steelhead,spawner,91.61,0.03,0,0,0.078,0.082,0.032,0.429,0.428,0.007
1164,Bowl,fuzzy,chinook,juvenile,44.97,41.28,76,76,0.525,0.53,0.079,0.529,0.538,0.071
1164,Bowl Transition,fuzzy,chinook,juvenile,103.06,41.27,5,5,0.367,0.332,0.161,0.466,0.483,0.068
1164,Mound,fuzzy,chinook,juvenile,195.84,NA,0,0,0.078,0.078,0.001,NA,NA,NA
1164,Mound Transition,fuzzy,chinook,juvenile,86.58,0,0,0,0.078,0.081,0.016,NA,NA,NA
1164,Plane,fuzzy,chinook,juvenile,183.23,0.2,0,0,0.078,0.095,0.056,0.438,0.449,0.049
1164,Saddle,fuzzy,chinook,juvenile,8.219999999999999,1.5,0,0,0.278,0.262,0.134,0.437,0.441,0.026
1164,Trough,fuzzy,chinook,juvenile,176.74,18.42,4,4,0.078,0.187,0.147,0.462,0.47,0.049
1164,Wall,fuzzy,chinook,juvenile,91.61,0.15000000000000002,0,0,0.078,0.089,0.06,0.493,0.477,0.036
1175,Bowl,nrei,steelhead,juvenile,72.19,54.79,34,34,29.302,26.765,21.451,31.593,32.499,14.359
1175,Bowl Transition,nrei,steelhead,juvenile,103.42,25.34,17,17,-6.371,-11.24,33.978,12.648,13.24,16.889
1175,Mound,nrei,steelhead,juvenile,258.05,NA,0,0,-35.76,-35.24,2.814,NA,NA,NA
1175,Mound Transition,nrei,steelhead,juvenile,93.92,NA,0,0,-33.907,-33.121,4.025,NA,NA,NA
1175,Plane,nrei,steelhead,juvenile,198.2,0.1,0,0,-28.59,-27,8.59,2.474,3.195,2.774
1175,Saddle,nrei,steelhead,juvenile,26.55,2.91,1,1,-7.855,-5.437,18.034,12.576,14.859,11.489
1175,Trough,nrei,steelhead,juvenile,202.4,24.16,10,10,-10.85,-10.408,17.388,11.636,11.997,9.605
1175,Wall,nrei,steelhead,juvenile,82.56,0.08,0,0,-31.349,-27.858,10.925,11.141,9.029,8.056
1175,Bowl,fuzzy,chinook,spawner,72.19,40.27,1,1,0.432,0.429,0.196,0.553,0.561,0.119
1175,Bowl Transition,fuzzy,chinook,spawner,103.42,13.709999999999999,0,0,0.23,0.255,0.121,0.457,0.463,0.046
1175,Mound,fuzzy,chinook,spawner,258.05,NA,0,0,0.208,0.154,0.064,NA,NA,NA
1175,Mound Transition,fuzzy,chinook,spawner,93.92,NA,0,0,0.208,0.153,0.065,NA,NA,NA
1175,Plane,fuzzy,chinook,spawner,198.2,0.03,0,0,0.078,0.14,0.07,0.439,0.445,0.035
1175,Saddle,fuzzy,chinook,spawner,26.55,0.98,0,0,0.078,0.177,0.127,0.416,0.42,0.018
1175,Trough,fuzzy,chinook,spawner,202.4,12.930000000000001,0,0,0.208,0.197,0.117,0.453,0.462,0.047
1175,Wall,fuzzy,chinook,spawner,82.56,0.02,0,0,0.078,0.114,0.068,0.407,0.407,0.003
1175,Bowl,fuzzy,steelhead,spawner,72.19,40.35,1,1,0.434,0.409,0.218,0.553,0.561,0.118
1175,Bowl Transition,fuzzy,steelhead,spawner,103.42,14.76,0,0,0.101,0.202,0.153,0.471,0.469,0.042
1175,Mound,fuzzy,steelhead,spawner,258.05,NA,0,0,0.078,0.078,0,NA,NA,NA
1175,Mound Transition,fuzzy,steelhead,spawner,93.92,NA,0,0,0.078,0.078,0,NA,NA,NA
1175,Plane,fuzzy,steelhead,spawner,198.2,0.03,0,0,0.078,0.085,0.033,0.439,0.445,0.035
1175,Saddle,fuzzy,steelhead,spawner,26.55,1.06,0,0,0.078,0.178,0.129,0.419,0.428,0.022
1175,Trough,fuzzy,steelhead,spawner,202.4,13,0,0,0.078,0.154,0.125,0.454,0.463,0.046
1175,Wall,fuzzy,steelhead,spawner,82.56,0.04,0,0,0.078,0.092,0.053,0.416,0.42,0.017
1175,Bowl,fuzzy,chinook,juvenile,72.19,55.3,79,79,0.544,0.528,0.191,0.588,0.601,0.117
1175,Bowl Transition,fuzzy,chinook,juvenile,103.42,14.76,0,0,0.109,0.209,0.156,0.457,0.472,0.056
1175,Mound,fuzzy,chinook,juvenile,258.05,0,0,0,0.078,0.078,0,NA,NA,NA
1175,Mound Transition,fuzzy,chinook,juvenile,93.92,0.01,0,0,0.078,0.078,0.009,0.449,0.449,0
1175,Plane,fuzzy,chinook,juvenile,198.2,0.65,0,0,0.078,0.088,0.047,0.433,0.436,0.033
1175,Saddle,fuzzy,chinook,juvenile,26.55,1.49,0,0,0.078,0.172,0.143,0.478,0.485,0.061
1175,Trough,fuzzy,chinook,juvenile,202.4,15.68,2,2,0.078,0.168,0.141,0.476,0.492,0.074
1175,Wall,fuzzy,chinook,juvenile,82.56,0.26,0,0,0.078,0.105,0.09,0.456,0.471,0.065
1448,Bowl,nrei,steelhead,juvenile,613.54,99.71000000000001,288,288,39.451,-22.921,125.744,58.486,45.972,50.483
1448,Bowl Transition,nrei,steelhead,juvenile,32.04,4.6,11,11,61.935,-74.873,232.688,81.3,73.483,22.577
1448,Mound,nrei,steelhead,juvenile,1175.95,5.640000000000001,5,5,-22.525,-13.12,28.078,29.375,32.461,20.909
1448,Mound Transition,nrei,steelhead,juvenile,341.54,15.82,25,25,-0.289,1.985,39.472,28.714,31.878,21.38
1448,Plane,nrei,steelhead,juvenile,666.79,69.24,163,163,19.105,-5.46,80.713,49.617,45.151,26.795
1448,Saddle,nrei,steelhead,juvenile,169.41,19.77,60,60,-18.342,-76.338,146.685,42.463,36.932,38.758
1448,Trough,nrei,steelhead,juvenile,659.94,88.17,237,237,25.273,-30.438,122.966,55.766,50.827,34.755
1448,Wall,nrei,steelhead,juvenile,238.34,6.55,15,15,-3.993,2.956,38.172,38.232,38.88,24.881
1448,Bowl,fuzzy,chinook,spawner,613.54,396.40999999999997,12,12,0.502,0.478,0.192,0.583,0.595,0.111
1448,Bowl Transition,fuzzy,chinook,spawner,32.04,5.55,0,0,0.3,0.295,0.145,0.493,0.502,0.095
1448,Mound,fuzzy,chinook,spawner,1175.95,38.17,1,1,0.144,0.223,0.18,0.512,0.527,0.093
1448,Mound Transition,fuzzy,chinook,spawner,341.54,72.8,0,0,0.216,0.288,0.194,0.527,0.532,0.082
1448,Plane,fuzzy,chinook,spawner,666.79,242.48,1,1,0.379,0.358,0.184,0.513,0.524,0.092
1448,Saddle,fuzzy,chinook,spawner,169.41,114.83,3,3,0.479,0.475,0.187,0.559,0.573,0.122
1448,Trough,fuzzy,chinook,spawner,659.94,323.39,5,5,0.418,0.405,0.184,0.546,0.548,0.098
1448,Wall,fuzzy,chinook,spawner,238.34,43.541,3,3,0.396,0.391,0.216,0.555,0.576,0.119
1448,Bowl,fuzzy,steelhead,spawner,613.54,395.82,17,17,0.501,0.477,0.192,0.584,0.595,0.111
1448,Bowl Transition,fuzzy,steelhead,spawner,32.04,5.55,0,0,0.3,0.295,0.145,0.493,0.502,0.095
1448,Mound,fuzzy,steelhead,spawner,1175.95,38.05,1,1,0.078,0.218,0.183,0.511,0.527,0.093
1448,Mound Transition,fuzzy,steelhead,spawner,341.54,72.91,0,0,0.211,0.272,0.206,0.529,0.533,0.082
1448,Plane,fuzzy,steelhead,spawner,666.79,239.01,3,3,0.376,0.351,0.189,0.51,0.521,0.093
1448,Saddle,fuzzy,steelhead,spawner,169.41,114.83,5,5,0.479,0.475,0.187,0.559,0.573,0.122
1448,Trough,fuzzy,steelhead,spawner,659.94,318.73,3,3,0.413,0.401,0.183,0.536,0.545,0.098
1448,Wall,fuzzy,steelhead,spawner,238.34,43.581,6,6,0.397,0.387,0.22,0.554,0.575,0.119
1448,Bowl,fuzzy,chinook,juvenile,613.54,285.49,454,454,0.373,0.393,0.278,0.665,0.656,0.145
1448,Bowl Transition,fuzzy,chinook,juvenile,32.04,18.24,23,23,0.593,0.453,0.299,0.679,0.687,0.104
1448,Mound,fuzzy,chinook,juvenile,1175.95,46.43,41,41,0.078,0.24,0.224,0.576,0.59,0.128
1448,Mound Transition,fuzzy,chinook,juvenile,341.54,59.39,32,32,0.177,0.261,0.21,0.518,0.553,0.125
1448,Plane,fuzzy,chinook,juvenile,666.79,188.189,96,96,0.241,0.318,0.225,0.58,0.587,0.116
1448,Saddle,fuzzy,chinook,juvenile,169.41,33.95,6,6,0.088,0.222,0.183,0.512,0.527,0.1
1448,Trough,fuzzy,chinook,juvenile,659.94,254,226,226,0.305,0.349,0.256,0.62,0.62,0.129
1448,Wall,fuzzy,chinook,juvenile,238.34,45.121,76,76,0.412,0.407,0.274,0.643,0.642,0.147
1486,Bowl,nrei,steelhead,juvenile,394.13,57.33,290,290,1.988,-75.758,156.559,34.279,8.354,66.233
1486,Bowl Transition,nrei,steelhead,juvenile,273.63,2.8,13,13,-228.43,-285.204,195.326,38.533,21.042,57.1
1486,Mound,nrei,steelhead,juvenile,452.78000000000003,40.23,66,65,48.343,31.463,59.017,61.885,56.226,26.375
1486,Mound Transition,nrei,steelhead,juvenile,252,35.93,86,86,39.149,-14.575,109.987,58.241,52.122,33.185
1486,Plane,nrei,steelhead,juvenile,670.0400000000001,55.76,188,188,-117.562,-82.607,116.981,48.434,38.353,48.867
1486,Saddle,nrei,steelhead,juvenile,40.56,1,8,8,-182.452,-163.465,96.199,29,-1.888,104.313
1486,Trough,nrei,steelhead,juvenile,726.88,34.47,112,112,-164.161,-139.866,119.818,44.159,28.564,60.688
1486,Wall,nrei,steelhead,juvenile,461.04,34.89,81,81,39.651,24.109,66.228,57.679,53.601,29.482
1486,Bowl,fuzzy,chinook,spawner,394.13,185.3,7,7,0.435,0.484,0.204,0.669,0.665,0.112
1486,Bowl Transition,fuzzy,chinook,spawner,273.63,37.84,0,0,0.3,0.32,0.065,0.454,0.449,0.012
1486,Mound,fuzzy,chinook,spawner,452.78000000000003,22.61,0,0,0.3,0.32,0.056,0.454,0.451,0.028
1486,Mound Transition,fuzzy,chinook,spawner,252,36.22,0,0,0.3,0.339,0.084,0.454,0.461,0.059
1486,Plane,fuzzy,chinook,spawner,670.0400000000001,225.44,0,0,0.3,0.367,0.102,0.454,0.467,0.057
1486,Saddle,fuzzy,chinook,spawner,40.56,NA,0,0,0.3,0.297,0.013,NA,NA,NA
1486,Trough,fuzzy,chinook,spawner,726.88,206.8,3,3,0.3,0.372,0.136,0.454,0.518,0.129
1486,Wall,fuzzy,chinook,spawner,461.04,63.329,5,5,0.424,0.473,0.196,0.619,0.62,0.162
1486,Bowl,fuzzy,steelhead,spawner,394.13,173.94,6,6,0.387,0.409,0.279,0.676,0.678,0.103
1486,Bowl Transition,fuzzy,steelhead,spawner,273.63,16.21,0,0,0.23,0.224,0.105,0.414,0.414,0.009
1486,Mound,fuzzy,steelhead,spawner,452.78000000000003,3.9899999999999998,0,0,0.221,0.191,0.107,0.418,0.449,0.065
1486,Mound Transition,fuzzy,steelhead,spawner,252,10.69,0,0,0.23,0.252,0.115,0.423,0.485,0.106
1486,Plane,fuzzy,steelhead,spawner,670.0400000000001,128.08,0,0,0.249,0.299,0.132,0.422,0.459,0.081
1486,Saddle,fuzzy,steelhead,spawner,40.56,NA,0,0,0.203,0.174,0.061,NA,NA,NA
1486,Trough,fuzzy,steelhead,spawner,726.88,107.85000000000001,3,3,0.249,0.305,0.166,0.485,0.567,0.166
1486,Wall,fuzzy,steelhead,spawner,461.04,48.909,5,5,0.365,0.417,0.241,0.698,0.668,0.155
1486,Bowl,fuzzy,chinook,juvenile,394.13,145.19,237,237,0.339,0.352,0.214,0.535,0.566,0.13
1486,Bowl Transition,fuzzy,chinook,juvenile,273.63,31.15,0,0,0.103,0.198,0.149,0.477,0.484,0.056
1486,Mound,fuzzy,chinook,juvenile,452.78000000000003,45.82,0,0,0.238,0.258,0.166,0.509,0.492,0.044
1486,Mound Transition,fuzzy,chinook,juvenile,252,13.77,4,4,0.142,0.187,0.133,0.497,0.501,0.085
1486,Plane,fuzzy,chinook,juvenile,670.0400000000001,52.25,19,19,0.198,0.203,0.135,0.47,0.496,0.093
1486,Saddle,fuzzy,chinook,juvenile,40.56,5.51,0,0,0.226,0.227,0.137,0.464,0.479,0.055
1486,Trough,fuzzy,chinook,juvenile,726.88,67.08,63,63,0.121,0.194,0.15,0.5,0.524,0.101
1486,Wall,fuzzy,chinook,juvenile,461.04,7.470000000000001,0,0,0.121,0.167,0.114,0.522,0.503,0.044
1494,Bowl,nrei,steelhead,juvenile,557.0699999999999,91.44,373,373,37.913,-7.322,96.218,49.65,38.497,49.367
1494,Bowl Transition,nrei,steelhead,juvenile,257.02,20.76,84,84,-141.379,-80.734,112.844,50.338,35.66,50.424
1494,Mound,nrei,steelhead,juvenile,590.46,63.25,99,99,42.175,33.257,43.608,56.68,52.784,25.37
1494,Mound Transition,nrei,steelhead,juvenile,362.14,69.4,148,148,56.014,36.128,57.599,59.441,52.944,29.002
1494,Plane,nrei,steelhead,juvenile,852.28,131.14,397,397,37.507,-15.984,100.097,47.903,42.344,33.84
1494,Trough,nrei,steelhead,juvenile,940.0799999999999,117.48,430,430,1.316,-53.102,112.276,38.132,26.543,45.842
1494,Wall,nrei,steelhead,juvenile,595.81,41.3,69,69,37.3,31.636,43.481,63.189,57.41,24.851
1494,Bowl,fuzzy,chinook,spawner,557.0699999999999,438.52,9,9,0.557,0.529,0.148,0.584,0.592,0.09
