gut.layer,visit.id,n.units,bf.area.m2,wet.area.m2,main.thalweg.length.m,thalweg.length.m,thalweg.length.ratio,edge.length.area.ratio,edge.dens.main.thalweg,edge.dens.thalwegs,edge.dens.xs
Tier2_InChannel_Transition,2458,188,424.9,264.539,130.695,164.47,1.258,3.794,1.086,1.088,2.475
Tier2_InChannel_Transition,2459,68,7224.582,7060.254,302.788,440.9,1.456,0.682,0.175,0.236,0.462
Tier2_InChannel_Transition,2484,191,3451.451,1634.62,178.631,656.881,3.677,1.58,0.341,0.405,1.08
Tier2_InChannel_Transition,2499,66,7435.733,6666.684,306.048,399.035,1.304,0.712,0.17,0.185,0.509
Tier2_InChannel_Transition,2546,46,24076.126,17926.744,609.188,609.188,1,0.367,0.071,0.071,0.245
Tier2_InChannel_Transition,2556,192,11457.663,6772.527,431.024,1242.938,2.884,0.852,0.162,0.293,0.498
Tier2_InChannel_Transition,2563,48,1402.959,653.261,120.886,200.263,1.657,1.27,0.381,0.449,0.792
Tier2_InChannel_Transition,2668,113,16867.967,12216.067,565.154,1014.784,1.796,0.602,0.083,0.123,0.386
Tier2_InChannel_Transition,2696,122,4844.968,3668.004,313.533,415.788,1.326,1.163,0.204,0.332,0.724
Tier2_InChannel_Transition,2769,157,798.024,592.82,187.998,213.283,1.134,3.086,0.75,0.75,2.004
Tier2_InChannel_Transition,2771,99,563.859,419.868,141.126,154.751,1.097,3.009,0.276,0.362,2
Tier2_InChannel_Transition,2785,159,1640.527,825.238,122.313,361.012,2.952,2.18,0.458,0.562,1.231
Tier2_InChannel_Transition,2790,173,960.143,805.971,222.961,249.165,1.118,3.151,0.565,0.582,2.101
Tier2_InChannel_Transition,2898,78,19212.31,15008.793,656.547,763.768,1.163,0.582,0.155,0.157,0.382
Tier2_InChannel_Transition,294,94,9341.288,8763.388,450.033,543.075,1.207,0.773,0.169,0.28,0.523
Tier2_InChannel_Transition,3146,128,2991.817,2375.947,301.542,475.83,1.578,1.427,0.328,0.355,0.909
Tier2_InChannel_Transition,3161,194,399.071,260.203,128.48,195.626,1.523,3.638,1.066,1.293,2.183
Tier2_InChannel_Transition,323,101,1579.462,1156.094,161.992,241.941,1.494,1.669,0.407,0.446,1.018
Tier2_InChannel_Transition,3275,156,27680.744,15297.403,695.446,1346.908,1.937,0.497,0.086,0.13,0.334
Tier2_InChannel_Transition,3297,414,21876.315,13365.382,645.241,1846.015,2.861,0.914,0.143,0.218,0.632
Tier2_InChannel_Transition,3413,107,764.041,616.076,123.353,137.535,1.115,2.292,0.495,0.458,1.514
Tier2_InChannel_Transition,3415,92,2091.432,1761.221,170.192,216.348,1.271,1.42,0.394,0.384,0.945
Tier2_InChannel_Transition,3432,177,1029.217,738.603,173.845,266.676,1.534,2.538,0.719,0.787,1.599
Tier2_InChannel_Transition,3464,92,2816.999,1636.925,205.455,329.129,1.602,1.242,0.146,0.255,0.806
Tier2_InChannel_Transition,3466,106,29328.175,17423.374,690.477,1065.994,1.544,0.363,0.136,0.155,0.233
Tier2_InChannel_Transition,3501,179,7306.055,5694.33,399.611,697.318,1.745,1.165,0.163,0.268,0.767
Tier2_InChannel_Transition,3512,233,3657.812,3378.199,241.076,676.135,2.805,1.535,0.336,0.429,0.942
Tier2_InChannel_Transition,3528,73,2388.864,1966.57,209.517,259.042,1.236,1.284,0.315,0.32,0.899
Tier2_InChannel_Transition,3615,256,976.339,717.887,256.88,264.399,1.029,3.236,0.884,0.889,2.093
Tier2_InChannel_Transition,3618,261,6788.001,3786.408,252.148,591.973,2.348,1.374,0.349,0.377,0.923
Tier2_InChannel_Transition,3620,364,2308.13,1004.93,217.012,618.717,2.851,2.454,0.382,0.546,1.743
Tier2_InChannel_Transition,3637,206,1063.226,735.83,289.699,312.415,1.078,3.42,0.656,0.679,2.255
Tier2_InChannel_Transition,3701,238,8882.882,7517.921,531.698,990.275,1.862,1.032,0.181,0.266,0.663
Tier2_InChannel_Transition,372,152,1241.022,579.462,164.553,250.906,1.525,2.184,0.504,0.57,1.545
Tier2_InChannel_Transition,3949,125,2281.37,1965.343,216.524,371.865,1.717,1.625,0.3,0.438,1.088
Tier2_InChannel_Transition,3975,135,1415.061,987.367,204.274,274.248,1.343,2.583,0.157,0.263,1.793
Tier2_InChannel_Transition,3979,329,23490.767,16309.382,539.9,2063.255,3.822,0.809,0.174,0.349,0.544
Tier2_InChannel_Transition,3983,133,3876.754,2999.055,285.211,365.607,1.282,1.226,0.242,0.271,0.802
Tier2_InChannel_Transition,3991,81,902.699,494.212,128.944,162.66,1.261,1.981,0.419,0.473,1.393
Tier2_InChannel_Transition,4000,83,15341.884,9617.629,493.886,945.293,1.914,0.624,0.14,0.135,0.403
Tier2_InChannel_Transition,4024,87,19919.134,11761.73,596.002,1067.849,1.792,0.449,0.077,0.104,0.308
Tier2_InChannel_Transition,4086,147,24005.598,14503.738,645.564,1371.307,2.124,0.515,0.248,0.282,0.312
Tier2_InChannel_Transition,4147,246,7617.74,5173.448,279.446,1007.836,3.607,1.267,0.165,0.324,0.814
Tier2_InChannel_Transition,4179,176,5722.65,4271.222,371.244,707.115,1.905,1.278,0.345,0.373,0.846
Tier2_InChannel_Transition,4182,70,4203.979,3160.97,311.732,337.697,1.083,1.035,0.209,0.21,0.725
Tier2_InChannel_Transition,4454,227,4570.639,2738.345,225.76,731.936,3.242,1.615,0.337,0.488,1.139
Tier2_InChannel_Transition,4483,162,5051.519,3098.346,256.007,721.564,2.819,1.314,0.23,0.32,0.904
Tier2_InChannel_Transition,4555,84,1263.023,1027.801,122.731,195.632,1.594,1.854,0.359,0.399,1.225
Tier2_InChannel_Transition,547,208,405.315,370.619,146.883,202.216,1.377,3.901,0.878,1.024,2.543
Tier2_InChannel_Transition,548,162,664.721,548.138,152.902,168.687,1.103,2.86,0.693,0.664,1.999
Tier2_InChannel_Transition,664,162,540.25,349.887,120.032,173.85,1.448,3.338,0.683,0.777,2.145
Tier2_InChannel_Transition,665,104,971.79,770.18,162.85,172.348,1.058,2.356,0.411,0.406,NA
Tier2_InChannel_Transition,681,137,2672.33,2447.42,269.831,438.195,1.624,1.458,0.282,0.413,0.881
Tier2_InChannel_Transition,685,104,7810.66,6472.964,401.716,567.435,1.413,0.77,0.127,0.234,0.52
Tier2_InChannel_Transition,686,88,1318.243,1231.268,169.27,276.757,1.635,1.733,0.313,0.484,1.106
Tier2_InChannel_Transition,699,103,661.648,543.183,117.355,172.395,1.469,2.707,0.869,0.824,1.744
Tier2_InChannel_Transition,701,139,565.18,422.017,123.862,169.446,1.368,2.802,0.654,0.702,1.767
Tier2_InChannel_Transition,738,62,3100.157,1924.002,207.276,257.86,1.244,0.977,0.183,0.209,0.683
Tier2_InChannel_Transition,747,104,946.335,509.504,125.791,153.938,1.224,1.974,0.636,0.669,1.338
Tier2_InChannel_Transition,797,164,1265.043,520.106,167.811,262.424,1.564,2.22,0.584,0.587,1.407
Tier2_InChannel_Transition,806,115,743.132,447.704,127.312,127.312,1,2.397,0.581,0.581,1.849
Tier2_InChannel_Transition,820,139,470.227,367.012,127.959,161.422,1.262,3.259,1.149,1.066,2.204
Tier2_InChannel_Transition,85,143,382.102,292.059,106.593,117.649,1.104,3.484,0.929,0.952,2.158
Tier2_InChannel_Transition,895,129,2509.758,2261.68,199.865,346.472,1.734,1.337,0.395,0.404,0.82
Tier2_InChannel_Transition,916,124,5152.633,4725.855,329.649,581.607,1.764,1.024,0.188,0.437,0.672
Tier2_InChannel_Transition,920,180,1077.843,874.197,164.612,293.823,1.785,2.283,0.48,0.63,1.424
Tier2_InChannel_Transition,937,211,705.493,473.608,169.279,208.673,1.233,3.305,0.721,0.834,2.334
Tier2_InChannel_Transition,2014,185,856.451,615.924,174.188,252.67,1.451,2.698,0.735,0.863,1.708
Tier2_InChannel_Transition,2019,261,5107.323,3962.729,337.281,680.465,2.018,1.406,0.32,0.436,0.983
Tier2_InChannel_Transition,2021,105,1156.451,1024.021,168.664,197.479,1.171,2.018,0.391,0.42,1.382
Tier2_InChannel_Transition,2026,275,6688.749,4429.285,454.59,792.16,1.743,1.372,0.337,0.53,0.898
Tier2_InChannel_Transition,2028,121,5749.389,4769.253,373.919,456.009,1.22,1.078,0.348,0.379,0.702
