visit.id,fuzzy.area.best.chinook.spawner,fuzzy.area.best.steelhead.spawner,fuzzy.area.reach.chinook.spawner,fuzzy.area.reach.steelhead.spawner,fuzzy.area.suitable.chinook.spawner,fuzzy.area.suitable.steelhead.spawner,fuzzy.pred.fish.best.chinook.spawner,fuzzy.pred.fish.best.steelhead.spawner,fuzzy.pred.fish.reach.chinook.spawner,fuzzy.pred.fish.reach.steelhead.spawner,fuzzy.pred.fish.suitable.chinook.spawner,fuzzy.pred.fish.suitable.steelhead.spawner,nrei.area.best.steelhead.juvenile,nrei.area.reach.steelhead.juvenile,nrei.area.suitable.steelhead.juvenile,nrei.pred.fish.best.steelhead.juvenile,nrei.pred.fish.reach.steelhead.juvenile,nrei.pred.fish.suitable.steelhead.juvenile,thalweg.length.main,thalweg.length.reach
681,256.2,256.2,2312.99,2312.99,918.51,918.51,8,11,29,40,21,29,144.94,2401.36,144.94,465,955,490,263.735,432.1
685,467.58,467.58,6271.38,6271.38,4129.42,4129.42,14,20,105,147,91,127,553.58,6559.96,553.58,1059,2559,1500,396.314,562.033
686,143.06,143.06,1041.49,1041.49,555.79,555.79,4,6,16,24,12,18,262.09,1137.52,262.79,193,457,264,148.07,234.852
699,65.07,65.07,404.8,404.8,241.53,241.53,2,3,8,11,6,8,95.86,427.92,100.29,78,123,45,112.407,163.984
701,11.11,11.11,348.02,348.02,206.31,206.31,0,0,4,6,4,6,115.35,382.76,116.59,77,108,31,103.204,148.788
738,11.92,11.92,1549.16,1549.16,588.78,589.33,0,0,13,18,13,18,454.65,1596.6,455.31,170,258,88,201.388,251.972
747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265.52,NA,NA,NA,NA,119.317,145.412
797,0.03,0.03,357.86,357.86,7.67,8.36,NA,NA,NA,NA,NA,NA,0.04,412.08,0.04,1,1,0,160.018,254.631
806,0,0,270.15,270.15,13.03,14.17,NA,NA,NA,NA,NA,NA,0.08,287.88,0.08,NA,NA,NA,122.026,122.026
820,0.33,0.33,279.9,279.9,23.45,23.45,NA,NA,NA,NA,NA,NA,14.16,315.92,14.16,10,11,1,106.802,139.826
895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.47,NA,70.48,232,450,218,NA,NA
916,442.82,442.82,4600.25,4600.25,1147.15,1147.15,14,20,38,54,24,34,134.13,4939.12,134.13,385,771,386,326.298,578.255
920,46.28,48.47,824.04,824.04,268.49,259.73,1,2,6,9,5,7,130.59,903.36,130.98,159,243,84,159.868,286.758
937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,247.66,247.66,1372.72,1372.72,865.61,789.04,8,11,27,36,19,25,384.22,1410.84,386.31,247,455,208,206.017,253.321
1029,138.59,138.59,1080.77,1080.77,578.06,578.06,4,6,17,24,13,18,215.28,1173.84,215.39,135,241,106,172.462,415.343
1096,1037.45,1037.45,11512.29,11512.29,7249.63,7249.63,35,49,191,267,156,218,4104.56,12603.48,4201.36,1665,3818,2153,525.728,656.377
1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.57,425.36,66.86,54,75,21,119.191,182.522
1175,11.31,11.31,482.18,482.18,217.6,212.56,0,0,4,6,4,6,57.67,536.04,58.49,52,65,13,145.453,271.271
1448,104.32,104.32,2681.99,2681.99,1387.92,1381.18,3,4,32,45,29,41,646.96,2832.88,649.84,428,815,387,275.214,583.198
1486,74.15,74.15,2901.83,2901.83,1011.52,591.48,2,3,21,20,19,17,534.52,3039.08,537.8,384,854,470,282.086,358.31
1494,201.06,201.06,3765.19,3765.19,2439.42,2439.42,6,8,59,82,53,74,1087.44,3864.72,1089.8,737,1605,868,314.094,338.978
1521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3688.11,15969.72,3798.99,2335,5973,3638,608.973,806.149
1545,25.11,25.11,285.91,285.91,143.34,142.25,0,1,3,5,3,4,24.98,598.36,24.91,50,73,23,90.666,185.717
1549,0.6,0.6,223.98,223.98,76.8,76.82,0,0,1,2,1,2,10.44,244.88,10.47,15,23,8,116.766,140.145
1587,15.26,15.26,2363.31,2363.31,1642.26,1593.29,0,0,31,42,31,42,708.26,2439.8,707.92,466,952,486,244.454,309.541
1596,14.59,14.59,4794.25,4794.25,406.48,384.22,0,0,8,11,8,11,880.52,5372.64,880.88,580,1302,722,294.721,712.671
1602,968.82,968.82,5187.37,5187.37,2290.03,2306.36,31,44,83,116,52,72,1176.76,5334.2,1179.4,749,1677,928,359.281,599.198
1621,5.6,5.6,349.35,349.35,71.65,71.65,0,0,1,2,1,2,100.82,365.96,101.77,68,105,37,115.02,136.468
1735,269.52,269.52,1139.7,1139.7,326.51,325.47,10,12,17,22,7,10,271.26,1430.08,277.41,176,299,123,203.642,464.418
1783,0,0,7634.85,7634.85,1489.45,1263.2,0,0,26,29,26,29,2585.12,7746.84,2584.4,1390,3486,2096,311.144,441.495
1793,NA,NA,8727.95,8727.95,NA,NA,NA,NA,NA,NA,NA,NA,3638.72,8805.48,3634.84,2087,4509,2422,316.598,534.995
1846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,24.71,24.71,716.94,716.94,197.33,197.33,0,1,4,7,4,6,251.49,792.24,251.5,136,220,84,177.343,272.688
1971,2.56,2.56,1330.92,1330.92,46.96,46.96,NA,0,NA,1,NA,1,240.79,1569,241.4,139,205,66,198.761,643.957
2014,48.36,48.36,235.55,235.55,100.72,100.72,1,2,3,5,2,3,118.97,633.24,120.65,112,174,62,165.493,252.455
2019,69.12,69.12,3672.19,3672.19,1429,1266.52,2,3,29,36,27,33,1086.01,3969.52,1090.46,596,1107,511,334.696,679.143
2021,66.54,66.54,974.06,974.06,400.4,400.4,2,2,10,14,8,12,212.09,1049.8,220.47,166,302,136,167.359,194.872
2026,1.37,1.37,4106.56,4106.56,1210.83,1111.56,0,0,22,28,22,28,1039.12,4358.08,1046.48,407,817,410,451.714,788.423
2027,42.42,42.42,9368.63,9368.63,2414.34,2414.34,1,1,46,64,45,63,2796.16,9917.36,2800.08,1096,2152,1056,621.688,942.164
2028,0,0,3042.26,3042.26,992.72,992.72,0,0,18,26,18,26,1368.26,4475.36,1367.18,660,1047,387,369.954,452.346
2051,76.1,76.1,765.59,765.59,281.55,281.55,2,3,8,12,6,9,191.36,796.96,198.84,124,225,101,148.753,252.86
2056,0,0,2900.4,2900.4,2.09,2.09,NA,NA,NA,NA,NA,NA,876.4,2959.48,876.22,380,659,279,285.001,403.045
2060,NA,NA,6539.28,6539.28,NA,NA,NA,NA,NA,NA,NA,NA,1516.88,6711.76,1516.64,833,2120,1287,384.562,384.562
2061,65.11,65.11,1803.37,1803.37,589.66,589.66,2,2,15,21,13,19,482.24,1857.44,536.84,343,631,288,185.602,340.441
2065,0,0,1647.39,1647.39,220.32,227.81,0,0,3,5,3,5,423.62,1696.92,436.85,291,490,199,217.673,299.993
2133,3.48,3.48,239.23,239.23,88.8,88.69,0,0,1,2,1,2,22.82,261,22.89,21,23,2,124.525,132.135
2140,13.04,13.04,3370.26,3370.26,949.4,951,0,0,18,26,18,26,194.52,3654.48,194.52,274,448,174,377.333,1127.997
2141,11.36,11.36,385.79,385.79,45.08,41.8,NA,0,NA,1,NA,1,2.52,408.04,2.53,6,7,1,126.305,179.258
2145,127.11,127.11,980.65,980.65,210,205.91,4,5,8,11,4,6,161.59,1022.56,163.46,180,296,116,203.71,301.23
2153,NA,NA,7037.99,7037.99,NA,NA,NA,NA,NA,NA,NA,NA,407.34,7189.6,407.35,1007,2306,1299,426.2,464.737
2205,51.46,51.46,308.8,308.8,187.15,187.19,1,2,5,8,4,6,52.12,335.84,52.76,45,64,19,121.743,191.205
2262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2265,164.53,164.53,3220.57,3220.57,1012.67,1001.85,5,7,27,37,22,30,117.61,3631.68,117.61,322,642,320,280.505,457.701
2271,27.54,27.54,291.03,291.03,118.06,116.25,0,1,2,4,2,3,9.06,331.68,9.08,36,54,18,121.989,242.558
2288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2338,33.57,33.57,279.18,279.18,92.05,92.18,1,1,3,3,2,2,46.61,299.24,46.74,36,47,11,122.785,138.678
2435,0.62,0.62,465.45,465.45,101.73,95.24,0,0,1,2,1,2,43.46,506.12,43.76,33,42,9,142.121,177.609
2441,0,0,1502.61,1502.61,0.6,0.6,NA,NA,NA,NA,NA,NA,0.14,1757.08,0.14,NA,NA,NA,395.125,683.655
2447,581.92,581.92,8323.96,8323.96,4614.09,4569.28,18,26,119,165,101,139,643.33,9365.76,643.33,1653,4017,2364,335.978,1052.964
2458,1.44,1.44,202.82,202.82,75.38,73.08,0,0,1,2,1,2,20.2,226.16,20.23,30,39,9,126.317,160.092
2459,NA,NA,6803.43,6803.43,NA,NA,NA,NA,NA,NA,NA,NA,225.14,6936.92,225.14,518,1367,849,296.783,434.896
2484,73.03,73.03,1179.28,1179.28,447.84,447.84,2,3,11,16,9,13,156.95,1382.64,157.14,74,147,73,173.706,625.325
2499,NA,NA,5962.62,5962.62,NA,NA,NA,NA,NA,NA,NA,NA,284.48,6019.88,284.49,641,1579,938,299.739,377.427
2546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2556,400.32,400.32,6240.42,6240.42,2664.51,2664.19,13,17,76,106,63,89,374.55,6480.92,374.56,1130,2130,1000,423.921,1202.963
2563,37.18,37.18,573.93,573.93,371.09,364.67,1,1,9,12,8,11,138.84,596.96,138.95,62,113,51,115.621,194.498
2668,308.77,308.77,11306.33,11306.33,7655.6,7655.6,9,13,173,242,164,229,973.98,11796.64,973.99,1744,4137,2393,528,842.761
2696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.56,3730.88,134.56,393,798,405,308.895,406.508
2769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.38,637.68,186.77,118,182,64,181.699,206.984
2771,3.74,3.74,255.99,255.99,94.72,75.53,0,0,1,2,1,2,62.23,260,62.69,35,67,32,96.01,104.12
2785,32.47,32.47,550.6,550.6,133.98,133.98,1,2,4,6,3,4,107.34,590.88,111.92,65,112,47,110.445,285.671
2790,1.53,1.53,624.53,624.53,186.57,186.57,0,0,3,5,3,5,150.5,639.28,181.93,134,221,87,218.174,244.378
2898,0,0,NA,13908.22,10095.24,10095.24,NA,0,NA,283,NA,283,1260.2,14071.8,1260.2,2514,6142,3628,649.965,755.416
3146,200.38,200.38,2282.79,2282.79,795.65,706.25,6,9,22,30,16,21,482.17,2337.8,486.58,362,723,361,296.659,455.824
3161,6.08,6.08,185.43,185.43,33.67,33.67,NA,0,NA,1,NA,1,2.47,216.2,2.49,10,15,5,123.161,188.953
3275,268.89,268.89,12362.9,12362.9,4140.56,4140.56,8,11,101,141,93,130,388.16,15668.76,388.16,1510,2410,900,687.304,1296.682
3297,354.55,354.55,10564.93,10564.93,2517.91,2281.38,11,16,63,84,52,68,777.12,12879.52,777.13,1754,3449,1695,619.058,1819.832
3413,0,0,288.91,288.91,61.13,8.92,NA,NA,NA,NA,NA,NA,131.11,443.64,132.38,82,130,48,101.99,116.172
3415,NA,NA,1610.99,1610.99,NA,NA,NA,NA,NA,NA,NA,NA,430,1360,429.64,300,519,219,148.779,185.798
3432,0,0,537.36,537.36,8.7,3.07,NA,NA,NA,NA,NA,NA,118.94,558.6,122.56,111,159,48,166.758,257.254
3464,51.98,51.98,1214.57,1214.57,425.81,415.74,1,3,10,15,9,12,245.48,NA,245.61,98,160,62,200.733,319.625
3466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.46,17703.32,626.47,4396,8964,4568,683.854,1057.744
3501,109.05,109.05,4671.72,4671.72,2806.15,2813.9,3,4,61,85,58,81,355.15,4940.6,355.15,667,1351,684,393.413,691.12
3512,0,0,2574.23,2574.23,656.6,656.6,0,0,12,17,12,17,702.5,2706.6,702.6,263,437,174,233.785,655.387
3528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,659.68,1985.32,679.57,275,529,254,200.25,249.775
3615,0,0,665.17,665.17,47.76,27.95,NA,NA,NA,NA,NA,NA,61.9,762.12,62.24,40,51,11,251.505,259.024
3620,2.78,2.78,701.46,701.46,155.76,155.76,0,0,2,4,2,4,154.39,1083.4,155.01,86,128,42,212.526,599.87
3637,7.43,7.43,690.64,690.64,356.86,356.86,0,0,6,9,6,9,157.34,795.36,161.92,125,189,64,281.672,304.389
3701,351.2,351.2,6550.84,6550.84,3545,3545,11,15,86,120,75,105,476.55,7930.12,476.55,1041,2231,1190,524.052,982.248
3949,249.29,249.29,1384.43,1384.43,485.31,485.31,8,11,19,26,11,15,140.12,1462.12,140.71,132,210,78,211.042,361.767
3975,NA,NA,782.48,782.48,NA,NA,NA,NA,NA,NA,NA,NA,0.01,853.28,0.01,1,1,0,198.477,268.451
3979,71.34,71.34,12573.31,12573.31,2241.83,2162.75,2,3,49,67,47,64,299.43,17638.44,299.44,1690,3859,2169,533.949,1974.885
3983,0,0,2759.95,2759.95,27.53,27.94,NA,NA,NA,NA,NA,NA,158.54,2855.88,158.54,434,888,454,278.717,359.113
3991,5.49,5.49,348.68,348.68,49.93,46.43,0,0,1,1,1,1,19.54,364.96,19.71,39,62,23,108.002,141.718
4000,347.94,347.94,8722.04,8722.04,3819.91,2889.45,11,15,86,100,75,85,418.85,9044.32,418.86,1064,2652,1588,462.288,913.696
4024,0,0,9445.75,9445.75,778.94,778.94,0,0,13,18,13,18,394.12,9753.12,394.13,2361,4975,2614,496.284,855.225
4086,3466.74,3466.74,13559.96,13559.96,5511.34,5511.34,NA,163,NA,339,NA,176,480.39,14422.32,480.4,2198,4566,2368,635.147,1314.921
4147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.9,4765.72,199.91,572,1071,499,266.035,962.113
4179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.43,4035.44,168.44,455,983,528,365.936,679.452
4182,0,0,2954.17,2954.17,1017.21,655.02,0,0,17,15,17,15,296.53,3048.96,296.53,494,955,461,299.482,325.446
