layer,visit.id,bf.area.m2,wet.area.m2,main.thalweg.length.m,thalweg.length.m,thalweg.length.ratio,edge.length.area.ratio,edge.dens.main.thalweg,edge.dens.thalwegs,edge.dens.xs
Tier2_InChannel_Transition,2271,702.154,413.555,126.273,246.873,0.511,3.416,1.006,1.167,1.878
Tier2_InChannel_Transition,2288,1041.499,331.315,154.359,182.023,0.848,2.032,0.479,0.533,1.319
Tier2_InChannel_Transition,2338,496.597,355.179,127.598,143.491,0.889,3.45,0.745,0.725,2.336
Tier2_InChannel_Transition,2435,928.136,549.102,147.281,182.769,0.806,2.252,0.706,0.722,1.316
Tier2_InChannel_Transition,2441,5395.229,2154.382,399.459,687.989,0.581,1.495,0.263,0.292,1.02
Tier2_InChannel_Transition,2447,11348.432,9059.562,341.339,1061.311,0.322,0.836,0.29,0.301,0.576
Tier2_InChannel_Transition,2458,424.9,264.539,130.695,164.47,0.795,3.794,1.086,1.088,2.475
Tier2_InChannel_Transition,2459,7224.582,7060.254,302.788,440.9,0.687,0.682,0.175,0.236,0.462
Tier2_InChannel_Transition,2484,3451.451,1634.62,178.631,656.881,0.272,1.58,0.341,0.405,1.08
Tier2_InChannel_Transition,2499,7435.733,6666.684,306.048,399.035,0.767,0.712,0.17,0.185,0.509
Tier2_InChannel_Transition,2546,24076.126,17926.744,609.188,609.188,1,0.367,0.071,0.071,0.245
Tier2_InChannel_Transition,2556,11457.663,6772.527,431.024,1242.938,0.347,0.852,0.162,0.293,0.498
Tier2_InChannel_Transition,2563,1402.959,653.261,120.886,200.263,0.604,1.27,0.381,0.449,0.792
Tier2_InChannel_Transition,2668,16867.967,12216.067,565.154,1014.784,0.557,0.602,0.083,0.123,0.386
Tier2_InChannel_Transition,2696,4844.968,3668.004,313.533,415.788,0.754,1.163,0.204,0.332,0.724
Tier2_InChannel_Transition,2769,798.024,592.82,187.998,213.283,0.881,3.086,0.75,0.75,2.004
Tier2_InChannel_Transition,2771,563.859,419.868,141.126,154.751,0.912,3.009,0.276,0.362,2
Tier2_InChannel_Transition,2785,1640.527,825.238,122.313,361.012,0.339,2.18,0.458,0.562,1.231
Tier2_InChannel_Transition,2790,960.143,805.971,222.961,249.165,0.895,3.151,0.565,0.582,2.101
Tier2_InChannel_Transition,2898,19212.31,15008.793,656.547,763.768,0.86,NA,NA,NA,NA
Tier2_InChannel_Transition,294,9341.288,8763.388,450.033,543.075,0.829,0.773,0.169,0.28,0.523
Tier2_InChannel_Transition,3146,2991.817,2375.947,301.542,475.83,0.634,1.427,0.328,0.355,0.909
Tier2_InChannel_Transition,3161,399.071,260.203,128.48,195.626,0.657,3.638,1.066,1.293,2.183
Tier2_InChannel_Transition,323,1579.462,1156.094,161.992,241.941,0.67,1.669,0.407,0.446,1.018
Tier2_InChannel_Transition,3275,27680.744,15297.403,695.446,1346.908,0.516,0.497,0.086,0.13,0.334
Tier2_InChannel_Transition,3297,21876.315,13365.382,645.241,1846.015,0.35,NA,NA,NA,NA
Tier2_InChannel_Transition,3413,764.041,616.076,123.353,137.535,0.897,2.292,0.495,0.458,1.514
Tier2_InChannel_Transition,3415,2091.432,1761.221,170.192,216.348,0.787,1.42,0.394,0.384,0.945
Tier2_InChannel_Transition,3432,1029.217,738.603,173.845,266.676,0.652,2.538,0.719,0.787,1.599
Tier2_InChannel_Transition,3464,2816.999,1636.925,205.455,329.129,0.624,1.242,0.146,0.255,0.806
Tier2_InChannel_Transition,3466,29328.175,17423.374,690.477,1065.994,0.648,0.363,0.136,0.155,0.233
Tier2_InChannel_Transition,3501,7306.055,5694.33,399.611,697.318,0.573,1.165,0.163,0.268,0.767
Tier2_InChannel_Transition,3512,3657.812,3378.199,241.076,676.135,0.357,1.535,0.336,0.429,0.942
Tier2_InChannel_Transition,3528,2388.864,1966.57,209.517,259.042,0.809,1.284,0.315,0.32,0.899
Tier2_InChannel_Transition,3615,976.339,717.887,256.88,264.399,0.972,3.236,0.884,0.889,2.093
Tier2_InChannel_Transition,3620,2308.13,1004.93,217.012,618.717,0.351,2.454,0.382,0.546,1.743
Tier2_InChannel_Transition,3637,1063.226,735.83,289.699,312.415,0.927,3.42,0.656,0.679,2.255
Tier2_InChannel_Transition,3701,8882.882,7517.921,531.698,990.275,0.537,1.032,0.181,0.266,0.663
Tier2_InChannel_Transition,372,1241.022,579.462,164.553,250.906,0.656,2.184,0.504,0.57,1.545
Tier2_InChannel_Transition,3949,2281.37,1965.343,216.524,371.865,0.582,1.625,0.3,0.438,1.088
Tier2_InChannel_Transition,3975,1415.061,987.367,204.274,274.248,0.745,2.583,0.157,0.263,1.793
Tier2_InChannel_Transition,3979,23490.767,16309.382,539.9,2063.255,0.262,0.809,0.174,0.349,0.544
Tier2_InChannel_Transition,3983,3876.754,2999.055,285.211,365.607,0.78,1.226,0.242,0.271,0.802
Tier2_InChannel_Transition,3991,902.699,494.212,128.944,162.66,0.793,1.981,0.419,0.473,1.393
Tier2_InChannel_Transition,4000,15341.884,9617.629,493.886,945.293,0.522,0.624,0.14,0.135,0.403
Tier2_InChannel_Transition,4024,19919.134,11761.73,596.002,1067.849,0.558,0.449,0.077,0.104,0.308
Tier2_InChannel_Transition,4086,24005.598,14503.738,645.564,1371.307,0.471,0.515,0.248,0.282,0.312
Tier2_InChannel_Transition,4147,7617.74,5173.448,279.446,1007.836,0.277,1.267,0.165,0.324,0.814
Tier2_InChannel_Transition,4179,5722.65,4271.222,371.244,707.115,0.525,1.278,0.345,0.373,0.846
Tier2_InChannel_Transition,4182,4203.979,3160.97,311.732,337.697,0.923,1.035,0.209,0.21,0.725
Tier2_InChannel_Transition,547,405.315,370.619,146.883,202.216,0.726,3.901,0.878,1.024,2.543
Tier2_InChannel_Transition,548,664.721,548.138,152.902,168.687,0.906,2.86,0.693,0.664,NA
Tier2_InChannel_Transition,664,540.25,349.887,120.032,173.85,0.69,3.338,0.683,0.777,2.145
Tier2_InChannel_Transition,665,971.79,770.18,162.85,172.348,0.945,2.356,0.411,0.406,NA
Tier2_InChannel_Transition,681,2672.33,2447.42,269.831,438.195,0.616,1.458,0.282,0.413,0.881
Tier2_InChannel_Transition,685,7810.66,6472.964,401.716,567.435,0.708,0.77,0.127,0.234,0.52
Tier2_InChannel_Transition,686,1318.243,1231.268,169.27,276.757,0.612,1.733,0.313,0.484,1.106
Tier2_InChannel_Transition,699,661.648,543.183,117.355,172.395,0.681,2.707,0.869,0.824,1.744
Tier2_InChannel_Transition,701,565.18,422.017,123.862,169.446,0.731,2.802,0.654,0.702,1.767
Tier2_InChannel_Transition,738,3100.157,1924.002,207.276,257.86,0.804,0.977,0.183,0.209,0.683
Tier2_InChannel_Transition,747,946.335,509.504,125.791,153.938,0.817,1.974,0.636,0.669,1.338
Tier2_InChannel_Transition,797,1265.043,520.106,167.811,262.424,0.639,2.22,0.584,0.587,1.407
Tier2_InChannel_Transition,806,743.132,447.704,127.312,127.312,1,2.397,0.581,0.581,1.849
Tier2_InChannel_Transition,820,470.227,367.012,127.959,161.422,0.793,3.259,1.149,1.066,2.204
Tier2_InChannel_Transition,85,382.102,292.059,106.593,117.649,0.906,3.484,0.929,0.952,2.158
Tier2_InChannel_Transition,895,2509.758,2261.68,199.865,346.472,0.577,1.337,0.395,0.404,0.82
Tier2_InChannel_Transition,916,5152.633,4725.855,329.649,581.607,0.567,1.024,0.188,0.437,0.672
Tier2_InChannel_Transition,920,1077.843,874.197,164.612,293.823,0.56,2.283,0.48,0.63,NA
Tier2_InChannel_Transition,937,705.493,473.608,169.279,208.673,0.811,3.305,0.721,0.834,2.334
