,GU,GUKey,UnitID,Channel,Perimeter,ElongRatio,Morphology,Position,Orient,OrientCat,bfSlope,bfSlopeSm,bedSlope,Area,Width,Length,LtoWRatio,bfwRatio,ThalwegCh,OnThalweg,No.Fish,No.FishBest,SuitArea,BestArea,MedModelVal,visit
11,Bank,Bk,11,NA,283.6000135,0.098397184,Elongated,Margin Attached,19.232988,Diagonal,0.919280049,0.83407261,20.49609199,35.88621284,0.736536035,96.85881395,131.5058726,0.088739281,Main,Split,0,NA,13.70784747,1.139757815,0.319999993,1027
12,Glide-Run,GR,12,NA,143.2000068,0.281092106,Elongated,Mid Channel,-3.783158532,Longitudinal,0.868841437,0.962879728,3.084632786,86.80003822,2.373103854,38.24106074,16.1143646,0.285916127,Main,Main,1,1,77.95003696,2.059988148,0.560000002,1027
13,Glide-Run,GR,13,NA,110.6000053,0.311807161,Elongated,Margin Detached,-1.921873562,Longitudinal,0.518759111,0.613215551,3.720278167,48.67000461,1.927798047,25.24642283,13.09598942,0.232264825,Main,Main,5,3,48.67000461,25.91067646,0.810000002,1027
14,Glide-Run,GR,14,NA,176.0000084,0.291781824,Elongated,Channel Spanning,0.87751544,Longitudinal,1.054816563,1.032860803,5.926320523,98.7600094,2.56976585,38.43152066,14.95526165,0.309610343,"Main, Backwater","Main, Return",0,NA,17.94010905,2.94007165,0.330000013,1027
15,Glide-Run,GR,15,NA,93.60000445,0.308539108,Elongated,Mid Channel,-1.147605555,Longitudinal,0.705682237,0.773043992,6.064864513,23.01000221,1.311635936,17.54297939,13.37488469,0.158028426,Main,Main,0,NA,15.92990602,1.990034503,0.660000026,1027
16,Glide-Run,GR,16,NA,103.8000049,0.337607257,Elongated,Channel Spanning,-12.61223474,Longitudinal,0.761732566,0.759464394,3.366866435,46.93000445,2.049660011,22.89648245,11.1708685,0.246946989,Main,"Main, Split",1,NA,42.03988243,5.23998998,0.610000014,1027
17,Glide-Run,GR,17,NA,23.60000112,0.487027805,Elongated,Margin Attached,-15.07449468,Diagonal,1.717868694,1.492191902,6.49014653,11.17000106,1.442530886,7.743335807,5.36788216,0.173798902,Main,Split,0,NA,7.159965635,NA,0.479999989,1027
18,Glide-Run,GR,18,NA,138.2000066,0.248523317,Elongated,Margin Attached,49.02903406,Diagonal,1.2169027,1.222184957,6.50078538,46.74992326,1.720896509,35.47569855,20.61466123,0.207336929,Main,"Main, Split",5,2,33.89993265,6.950547103,0.649999976,1027
19,Margin Attached Bar,Br,19,NA,11.40000054,0.540537095,Elongated,Margin Attached,-10.14768431,Longitudinal,1.748138423,1.53611803,4.455974767,0.300016006,0.894917488,3.899801241,4.357721569,0.107821384,None,None,0,NA,0.060010181,NA,0.300000012,1027
20,Margin Attached Bar,Br,20,NA,44.40000211,0.309363628,Elongated,Margin Attached,8.652200883,Longitudinal,1.652407879,1.275304069,8.584249498,5.789757635,1.000237327,13.30684319,13.30368586,0.120510521,None,None,0,NA,0.679837355,NA,0.180000007,1027
21,Margin Attached Bar,Br,21,NA,115.2000055,0.162795703,Elongated,Margin Attached,-2.503104843,Longitudinal,0.818533724,0.773102735,10.7736712,15.22091078,0.72021429,34.60081635,48.04239078,0.086772806,None,None,0,NA,4.320768852,1.550382072,0.079999998,1027
22,Margin Attached Bar,Br,22,NA,130.8000062,0.179828127,Elongated,Margin Attached,-3.144268595,Longitudinal,0.502516943,0.50912849,8.628487077,19.06972547,0.881006419,34.68760528,39.37270437,0.106145352,None,None,0,NA,12.92900564,4.839179888,0.670000017,1027
23,Margin Attached Bar,Br,23,NA,81.80000389,0.31260142,Elongated,Margin Attached,3.922809077,Longitudinal,1.022328471,0.982495594,6.045885243,5.659532197,2.221128366,28.94024815,13.02952526,0.267605827,None,None,0,NA,0.119947362,NA,0.079999998,1027
24,Margin Attached Bar,Br,24,NA,115.4000055,0.224147845,Elongated,Margin Attached,-1.149389806,Longitudinal,0.865290624,0.835520955,8.534201395,19.09146434,1.465408187,37.13641404,25.34202714,0.176555203,None,None,0,NA,5.080876536,0.780147551,0.079999998,1027
25,Margin Attached Bar,Br,25,NA,19.20000091,0.41716843,Elongated,Margin Attached,4.975625537,Longitudinal,0.462792729,0.432414017,6.769168128,6.300000606,0.927954083,6.789129668,7.316234489,0.111801697,Main,Split,0,NA,5.79013457,NA,0.670000017,1027
26,Margin Attached Bar,Br,26,NA,21.40000102,0.496243742,Elongated,Margin Attached,-15.01798337,Diagonal,1.060097782,0.93839534,10.51030792,2.290073063,0.991223699,5.12497884,5.170355436,0.119424542,None,None,0,NA,1.420107997,NA,0.649999976,1027
27,Margin Attached Bar,Br,27,NA,63.000003,0.172042513,Elongated,Margin Attached,-1.87197066,Longitudinal,0.504675827,0.472019459,10.18806678,9.389611641,0.517944779,22.28036956,43.01688219,0.062402985,None,None,0,NA,3.819216911,NA,0.270000011,1027
28,Margin Attached Bar,Br,29,NA,10.6000005,0.530193429,Elongated,Margin Attached,-13.72215986,Longitudinal,1.470537088,1.264604004,6.933041863,0.039997206,0.824621164,3.735048803,4.529411765,0.099351948,None,None,0,NA,0.039997206,NA,0.689999998,1027
29,Margin Attached Bar,Br,30,NA,48.20000229,0.23983647,Elongated,Margin Attached,2.104886283,Longitudinal,0.808607131,1.104980295,8.967971252,13.58982386,0.881503874,19.51211122,22.13502605,0.106205286,None,None,0,NA,10.07954664,4.639670767,0.670000017,1027
30,Mid Channel Bar,Bc,32,NA,9.000000425,0.453208849,Elongated,Mid Channel,68.59269895,Diagonal,1.357043464,1.285765973,5.239998212,1.090000105,0.419330457,2.599382143,6.198887052,0.050521742,None,None,0,NA,0.300015428,NA,0.079999998,1027
31,Mid Channel Bar,Bc,33,NA,21.40000102,0.746648183,NA,Mid Channel,37.83830494,Diagonal,1.403269682,1.329248817,5.486804403,6.330039949,2.496107243,5.700877393,2.283907236,0.300735812,None,None,0,NA,0.880024543,5.44E-06,0.079999998,1027
32,Pocket Pool,Pk,34,NA,5.200000247,0.715131064,NA,Margin Detached,15.7990797,Diagonal,0.339719823,0.475841714,3.125189938,1.160000108,0.682589205,1.699411743,2.48965517,0.082239663,Main,Split,0,NA,1.160000108,NA,0.639999986,1027
33,Pool,Po,35,NA,28.40000135,0.344103167,Elongated,Mid Channel,-15.90008899,Diagonal,1.383808058,1.41548672,2.236664057,7.930018715,0.921443767,9.908364671,10.75308665,0.111017321,Main,Main,0,NA,7.930018715,NA,0.569999993,1027
34,Pool,Po,36,NA,22.40000106,0.506325355,Elongated,Margin Detached,-4.824406655,Longitudinal,0.742219712,0.814189978,8.447253785,11.62000111,1.529598741,7.596764295,4.966507941,0.184289005,Main,Main,0,NA,9.75000115,NA,0.550000012,1027
35,Pool,Po,37,NA,49.00000233,0.405442453,Elongated,Margin Attached,-0.297902306,Longitudinal,0.600506419,0.637943733,4.422366756,39.28000374,2.251955155,17.44262254,7.745546132,0.271319898,Main,Main,1,NA,39.28000374,8.799994916,0.769999981,1027
36,Pool,Po,38,NA,6.600000316,0.856511718,NA,Mid Channel,11.02846636,Longitudinal,0.503371162,0.587463731,1.680532366,2.080000192,1.094736893,1.900000092,1.735576925,0.131896011,Main,Main,0,NA,2.080000192,1.509980989,0.839999974,1027
37,Pool,Po,39,NA,12.80000061,0.493210908,Elongated,Margin Attached,-0.043657503,Longitudinal,1.055993351,1.033726476,5.193066625,4.750000459,0.952630003,4.986196568,5.234137653,0.114774699,Main,Main,0,NA,0,NA,0.239999995,1027
38,Pool,Po,40,NA,16.8000008,0.467694802,Elongated,Margin Attached,7.451030343,Longitudinal,0.58857534,0.823475904,3.78584884,6.99000066,1.095836871,6.37868724,5.820836486,0.132028539,Main,Main,0,NA,0.049986731,NA,0.280000001,1027
39,Pool,Po,41,NA,16.8000008,0.523370767,Elongated,Mid Channel,40.88036964,Diagonal,0.49398534,0.677448855,5.390302925,6.570000613,1.188876996,5.526224029,4.648272316,0.143238192,"Main, Backwater","Main, Return",0,NA,2.360144867,0.500019748,0.300000012,1027
40,Pool,Po,42,NA,38.0000018,0.482518514,Elongated,Mid Channel,11.27967297,Longitudinal,0.744115485,0.774489809,4.565673337,30.12000286,2.346854923,12.8341989,5.468680134,0.282753605,Main,Main,2,2,24.77996465,8.189943468,0.670000017,1027
41,Pool,Po,43,NA,17.80000084,0.51873958,Elongated,Margin Detached,-7.307624907,Longitudinal,0.771291738,0.924796948,4.457285174,8.680000815,1.354422085,6.408637987,4.731640201,0.163183384,Main,Main,0,NA,7.850040763,1.229990943,0.620000005,1027
42,Pool,Po,44,NA,23.2000011,0.572368031,Elongated,Margin Attached,-6.430927047,Longitudinal,0.675970153,0.614322261,7.009775198,14.01000134,1.898625082,7.379024676,3.886509636,0.22875001,Main,"Main, Split",0,NA,12.6301558,7.94E-06,0.569999993,1027
43,Pool,Po,45,NA,23.40000111,0.553798939,Elongated,Margin Attached,4.061753518,Longitudinal,0.496605102,0.582305584,4.850376339,13.50000128,1.803282556,7.48634829,4.15151151,0.217262959,Main,"Main, Split",0,NA,13.50000128,0.72,0.670000017,1027
44,Pool,Po,46,NA,57.80000274,0.336510272,Elongated,Margin Attached,7.07058406,Longitudinal,1.368376889,1.286438728,6.815712,40.30995622,1.973019496,22.18427352,11.24381871,0.237713192,Main,"Main, Split",0,NA,36.13000786,10.74988977,0.689999998,1027
45,Riffle,Rf,47,NA,68.60000326,0.430316693,Elongated,Mid Channel,0.638780483,Longitudinal,0.696644485,0.685442701,2.818315368,53.93000511,2.800581279,19.25671843,6.875971988,0.337419431,Main,Main,1,1,49.16002971,15.42003747,0.629999995,1027
46,Riffle,Rf,48,NA,32.40000154,0.882683865,NA,Margin Detached,-5.09399083,Longitudinal,0.819805966,0.785860312,2.424384906,24.44000232,3.867235026,6.319761317,1.634180823,0.465931931,Main,Main,1,NA,22.51994976,6.37994312,0.74000001,1027
47,Riffle,Rf,49,NA,49.40000235,0.451190311,Elongated,Mid Channel,-10.49869745,Longitudinal,0.627791992,0.702816088,6.492939509,19.27000184,1.755275942,10.97833188,6.254476354,0.211479029,"Main, Backwater","Main, Return",0,NA,6.089877325,0.689942612,0.300000012,1027
48,Riffle,Rf,50,NA,19.00000091,0.773130958,NA,Margin Detached,109.0898952,Diagonal,0.654557791,0.695402445,2.730527038,9.740000905,2.138342758,4.554929694,2.130121411,0.257631658,Main,Main,0,NA,9.740000905,2.989880319,0.699999988,1027
49,Riffle,Rf,51,NA,133.6000063,0.460562907,Elongated,Channel Spanning,2.890370847,Longitudinal,0.763294457,0.798242371,2.090826134,194.0899914,5.689008795,34.14830693,6.002505561,0.685422746,Main,"Main, Split",9,2,189.3099672,50.77995018,0.75,1027
50,Transition,Tr,52,NA,61.60000292,0.145763078,Elongated,Margin Detached,-3.257325118,Longitudinal,1.043566395,1.081597052,9.415868672,9.670004916,0.408704431,24.49202944,59.92601889,0.049241498,None,None,0,NA,8.499736436,NA,0.519999981,1027
51,Transition,Tr,53,NA,117.0000056,0.198667329,Elongated,Margin Detached,3.66337051,Longitudinal,0.864203784,0.901837551,4.243127621,51.50003684,1.300613351,41.95713134,32.25949611,0.156700404,None,None,0,NA,36.51088012,4.719911332,0.479999989,1027
52,Transition,Tr,54,NA,40.60000193,0.300869406,Elongated,Margin Detached,-2.104335508,Longitudinal,0.629247971,0.62770718,4.502184948,16.44000157,1.081119532,15.2064606,14.06547579,0.130255365,None,None,1,1,16.35994732,11.16989782,0.910000026,1027
53,Transition,Tr,55,NA,158.0000075,0.21636352,Elongated,Margin Attached,1.636611622,Longitudinal,0.758055885,0.810235195,3.359424588,110.4895293,2.043164161,55.57067463,27.19834055,0.246164357,None,None,6,6,75.05956218,35.64982619,0.449999988,1027
54,Transition,Tr,56,NA,74.40000353,0.133348284,Elongated,Margin Attached,7.379418059,Longitudinal,0.722962129,0.739218972,11.20060679,9.610000908,0.366348067,26.2318865,71.60372569,0.044138321,Backwater,Return,0,NA,5.179982499,1.930009132,0.600000024,1027
55,Transition,Tr,57,NA,115.8000055,0.234549621,Elongated,Margin Attached,3.009458995,Longitudinal,0.862463708,0.847730816,3.859509106,64.51006836,1.671594537,38.68761515,23.14413829,0.201396932,None,None,2,NA,58.38043268,8.400305535,0.709999979,1027
56,Transition,Tr,58,NA,105.400005,0.200416575,Elongated,Margin Detached,-4.821843203,Longitudinal,0.572623692,0.595144629,4.626131264,39.28000373,1.113176816,35.28640121,31.69882871,0.134117689,None,None,0,NA,38.91974162,1.779864292,0.689999998,1027
57,Transition,Tr,59,NA,115.4000055,0.193305031,Elongated,Margin Attached,17.73207008,Diagonal,1.174630787,1.268260492,6.012687314,28.34996313,0.952901675,32.46925024,34.07408244,0.114807431,Main,Split,0,NA,22.86008711,6.919970264,0.670000017,1027
58,Bank,Bk,1,NA,38.20000182,0.210526354,Elongated,Margin Attached,1.694426249,Longitudinal,1.004171122,0.709364758,30.19320141,3.450065625,0.471999168,13.55934722,28.72748118,0.06465742,None,None,0,NA,1.200202767,NA,0.460000008,1029
59,Bank,Bk,2,NA,146.0000069,0.128410072,Elongated,Margin Attached,4.478638382,Longitudinal,2.085057165,1.643901539,32.32507694,20.73938503,0.599912819,46.32340193,77.21688963,0.082179838,None,None,1,NA,9.329122207,2.509649331,0.560000002,1029
60,Bank,Bk,3,NA,11.20000053,0.302799232,Elongated,Margin Attached,-24.28969999,Diagonal,1.294763202,1.273749913,22.68532617,1.209866739,0.319774419,4.440630796,13.88676056,0.043804715,None,None,0,NA,0.469903944,NA,0.424999997,1029
61,Bank,Bk,4,NA,111.6000053,0.161673987,Elongated,Margin Attached,11.71417682,Longitudinal,1.750435386,1.54209329,32.62112476,18.45044192,0.717687292,34.95951881,48.71135271,0.098313328,Main,Cut-off,0,NA,6.509998874,0.080038111,0.330000013,1029
62,Bank,Bk,5,NA,46.4000022,0.442668955,Elongated,Margin Attached,-92.60447133,Transverse,1.578206814,1.649501074,21.16809961,2.110202466,1.202784353,7.81520051,6.497590768,0.16476498,None,None,0,NA,0.009994454,NA,0.079999998,1029
63,Bank,Bk,6,NA,62.20000296,0.197675276,Elongated,Margin Attached,1.389321716,Longitudinal,1.102903216,0.930060448,21.48281762,11.22004647,0.675087954,21.9971358,32.58410353,0.092477802,None,None,0,NA,3.530106436,0.109998566,0.310000002,1029
64,Bank,Bk,7,NA,37.20000177,0.26009678,Elongated,Margin Attached,-3.496139517,Longitudinal,0.835819397,0.873300818,23.27352125,6.649916657,0.704077676,13.25138007,18.82090643,0.096448997,None,None,0,NA,2.32991913,NA,0.330000013,1029
65,Bank,Bk,8,NA,17.00000081,0.295821361,Elongated,Margin Attached,86.15083608,Transverse,2.339270683,1.619373016,25.25219953,1.000207371,0.421098953,6.126826549,14.54961241,0.057684788,None,None,0,NA,0,NA,0.079999998,1029
66,Bank,Bk,9,NA,92.6000044,0.179571348,Elongated,Margin Attached,-32.55412132,Diagonal,1.317163602,1.252496049,27.06594928,13.89925941,0.699858199,27.63417197,39.48538718,0.095870986,None,None,0,NA,3.749684568,NA,0.079999998,1029
67,Bank,Bk,10,NA,30.80000146,0.214407042,Elongated,Margin Attached,30.76507103,Diagonal,2.350180586,1.732167935,19.92418336,3.870067605,0.402630799,11.15165664,27.69697863,0.055154904,None,None,0,NA,0.860144827,8.55E-06,0.079999998,1029
68,Bank,Bk,11,NA,54.8000026,0.228075945,Elongated,Margin Attached,38.97925313,Diagonal,1.66709557,1.470389868,26.04742658,4.45999606,0.553178344,13.53993843,24.47662419,0.075777855,Backwater,Return,0,NA,0.030046462,NA,0.079999998,1029
69,Bank,Bk,12,NA,12.5992026,0.281856099,Elongated,Margin Attached,1.235085118,Longitudinal,0.72564898,0.604977311,18.66069443,0.49012289,0.305931105,4.903195912,16.02712452,0.041908371,None,None,0,NA,0,NA,0.079999998,1029
70,Bank,Bk,13,NA,97.19880746,0.179096619,Elongated,Margin Attached,14.00489615,Longitudinal,1.118390893,0.993055253,29.05552934,8.279806389,0.659215688,26.16756088,39.69499113,0.090303519,None,None,1,NA,1.350003146,0.02998432,0.079999998,1029
71,Chute,Ch,15,NA,62.99720939,0.287879474,Elongated,Margin Detached,12.2019616,Longitudinal,1.749012384,1.631083046,12.62769919,20.31997379,1.1571025,17.77710009,15.36346184,0.158507192,Side,Cut-off,0,NA,14.71993932,8.70E-06,0.449999988,1029
72,Chute,Ch,16,NA,25.60000122,0.300347879,Elongated,Margin Attached,-44.38176222,Diagonal,1.036522227,1.231581153,8.624692155,3.390000318,0.490082502,6.917203339,14.11436504,0.067134589,"Main, Side",Cut-off,0,NA,0.729973978,NA,0.079999998,1029
73,Chute,Ch,17,NA,20.80000098,0.325002532,Elongated,Margin Attached,-8.394431633,Longitudinal,1.8512608,1.638717932,15.56216209,1.590045244,0.471518698,5.683762416,12.05416124,0.064591602,Main,Cut-off,0,NA,0,NA,0.079999998,1029
74,Chute,Ch,18,NA,63.200003,0.277582777,Elongated,Margin Detached,14.76339108,Longitudinal,1.058116505,1.088607865,7.647772001,20.26002816,1.109462861,18.33319767,16.5243906,0.151981214,Main,Cut-off,0,NA,17.60008191,3.649969349,0.709999979,1029
75,Glide-Run,GR,19,NA,16.20000077,0.45950597,Elongated,Margin Detached,22.20212627,Diagonal,1.474468974,1.523090302,8.351905501,5.790058506,0.995000047,6.000000285,6.030150754,0.136301376,Main,Cut-off,0,NA,4.170016089,0.04,0.660000026,1029
76,Glide-Run,GR,20,NA,71.80000341,0.365884372,Elongated,Margin Attached,13.98364109,Longitudinal,1.187864383,1.032041394,5.497723737,22.83997357,1.764741767,16.78432696,9.510925206,0.241745448,Main,"Cut-off, Main",0,NA,12.61998559,0.54996878,0.479999989,1029
77,Glide-Run,GR,21,NA,17.38375816,0.595953899,Elongated,Mid Channel,29.37949787,Diagonal,1.469134293,1.830824699,2.503977937,6.346485973,1.497849773,5.369741906,3.584966933,0.2051849,Main,Cut-off,0,NA,0.430065441,0.150059355,0.079999998,1029
78,Glide-Run,GR,22,NA,281.798817,0.224520919,Elongated,Channel Spanning,-17.6782088,Diagonal,1.348009234,1.480994583,8.181142722,128.1000243,2.254764638,56.95057037,25.2578781,0.308871868,"Main, Side","Cut-off, Main, Split",4,3,108.6602472,37.54006647,0.680000007,1029
79,Glide-Run,GR,23,NA,17.40082649,0.620190511,NA,Margin Attached,1.400750942,Longitudinal,1.656224849,1.664994342,6.933752292,5.260012631,1.296007084,4.290102078,3.310245856,0.177535217,Main,Split,0,NA,0.650026269,NA,0.079999998,1029
80,Glide-Run,GR,24,NA,105.000005,0.307535433,Elongated,Margin Attached,111.1306156,Diagonal,1.6264861,1.74236701,12.15644636,23.34010297,1.500736816,20.20341112,13.4623279,0.205580386,Side,"Cut-off, Anabranch",0,NA,2.460012374,NA,0.079999998,1029
81,Glide-Run,GR,25,NA,59.20000281,0.356524893,Elongated,Mid Channel,-3.849163808,Longitudinal,0.757624741,0.843338534,6.699556717,11.28010213,1.236699027,12.38781718,10.01684073,0.169410826,Main,"Cut-off, Main",0,NA,7.240115939,NA,0.469999999,1029
82,Glide-Run,GR,26,NA,107.4000051,0.486914095,Elongated,Margin Attached,-7.298719671,Longitudinal,1.37328702,1.449507403,6.617720906,47.20003034,2.969007204,15.94472537,5.370389589,0.406713316,"Main, Backwater","Main, Return, Split",2,NA,33.88027189,9.910213717,0.680000007,1029
83,Glide-Run,GR,27,NA,322.7988179,0.46347678,Elongated,Channel Spanning,20.95989804,Diagonal,1.193922478,1.192839387,4.941626484,158.5398408,5.236318869,31.03706239,5.92726745,0.717303955,"Main, Side","Cut-off, Main, Split, Anabranch",7,3,139.0999111,24.71996404,0.709999979,1029
84,Margin Attached Bar,Br,28,NA,44.40000211,0.29756268,Elongated,Margin Attached,5.705081781,Longitudinal,0.525199551,0.511041626,12.57921281,6.959727412,0.891161246,12.8147416,14.37982369,0.122076883,None,None,0,NA,0.759818977,NA,0.079999998,1029
85,Margin Attached Bar,Br,30,NA,11.00000052,0.562340841,Elongated,Margin Detached,-10.1010316,Longitudinal,1.283676828,0.94131124,10.9454352,3.200031125,0.910788707,3.667151659,4.026347309,0.124765576,None,None,0,NA,1.140022454,NA,0.310000002,1029
86,Margin Attached Bar,Br,31,NA,13.60000065,0.393072633,Elongated,Margin Attached,-7.368113023,Longitudinal,1.080126512,1.77044963,10.7621601,0.019990246,0.531735366,4.381879355,8.240714533,0.072840461,None,None,NA,NA,NA,NA,NA,1029
87,Margin Attached Bar,Br,32,NA,39.20000186,0.627575182,NA,Margin Attached,15.52850129,Diagonal,1.2195825,1.42086513,6.349679705,0.310047572,2.701310513,8.732799182,3.232800946,0.370042536,None,None,0,NA,4.12E-06,NA,0.079999998,1029
88,Margin Attached Bar,Br,33,NA,12.40000059,0.417104826,Elongated,Margin Attached,-16.55383183,Diagonal,2.607931005,2.314490782,12.52110896,1.109990545,0.497312391,3.639563795,7.318465944,0.068124985,None,None,0,NA,0.059980585,NA,0.079999998,1029
89,Margin Attached Bar,Br,34,NA,54.20000257,0.404740295,Elongated,Margin Attached,-48.7240741,Diagonal,1.106025444,1.16226121,5.995608469,6.269816642,2.054899139,15.97158834,7.772443929,0.281493033,Main,Split,0,NA,0.849914641,0.039994428,0.079999998,1029
90,Margin Attached Bar,Br,35,NA,88.59970445,0.347870058,Elongated,Margin Attached,33.44376398,Diagonal,1.608099035,1.588168569,5.468810184,6.799502539,2.46131902,25.8966922,10.52146918,0.337166989,None,None,0,NA,2.61972322,0.219978543,0.340000004,1029
91,Margin Attached Bar,Br,36,NA,31.20000149,0.555846262,Elongated,Margin Attached,-149.3366476,Diagonal,1.932700251,1.352506063,11.09022543,4.47012804,1.747188602,7.200139229,4.120985691,0.239340904,None,None,0,NA,1.000029213,0.110026102,0.079999998,1029
92,Margin Attached Bar,Br,37,NA,58.40000278,0.441234924,Elongated,Margin Attached,2.392426463,Longitudinal,1.569170744,1.560711444,6.064920519,4.860408151,2.237453382,14.6327085,6.539894247,0.306500463,Main,Cut-off,0,NA,0.990061643,0.130018755,0.079999998,1029
93,Margin Attached Bar,Br,39,NA,13.80000065,0.358283469,Elongated,Margin Attached,-13.34281184,Longitudinal,2.138862909,1.545992788,10.5891404,1.320124873,0.491900393,4.879037021,9.918749996,0.067383615,None,None,0,NA,0.270108344,NA,0.079999998,1029
94,Margin Attached Bar,Br,40,NA,12.20000058,0.353838938,Elongated,Margin Attached,9.308126536,Longitudinal,0.930527258,0.888422617,11.72344331,0.950032429,0.417193021,4.242640888,10.16949152,0.057149729,None,None,0,NA,0.769977125,0.119993262,0.670000017,1029
95,Margin Attached Bar,Br,41,NA,53.00000251,0.219612771,Elongated,Margin Attached,-154.0029532,Diagonal,1.254758093,1.015411549,10.51778151,4.929963367,0.520057633,13.72924889,26.39947578,0.071240772,None,None,0,NA,1.77987006,NA,0.219999999,1029
96,Margin Attached Bar,Br,42,NA,11.20000054,0.608708812,NA,Margin Attached,-24.65274431,Diagonal,1.116273671,1.666248689,10.14163284,0.050034111,0.960470427,3.300466325,3.436301869,0.131571291,None,None,0,NA,0,NA,0.079999998,1029
97,Margin Attached Bar,Br,43,NA,72.00000342,0.324432941,Elongated,Margin Attached,-5.344405733,Longitudinal,1.012422568,1.004049209,5.155379818,1.920109234,1.862462176,22.52931873,12.09652417,0.255131805,None,None,0,NA,0,NA,0.079999998,1029
98,Mid Channel Bar,Bc,44,NA,5.000000237,0.860556983,NA,Mid Channel,22.20212627,Diagonal,1.363711281,1.334716595,7.953667973,0.700000102,0.814285754,1.400000066,1.719298243,0.111545994,None,None,0,NA,0,NA,0.079999998,1029
99,Mid Channel Bar,Bc,45,NA,134.4000064,0.323496626,Elongated,Channel Spanning,20.97089838,Diagonal,1.69492998,1.553164068,6.807910747,1.860072855,2.079648584,25.30235416,12.1666489,0.284883368,Main,Cut-off,0,NA,0.550006561,NA,0.214999996,1029
100,Mid Channel Bar,Bc,46,NA,5.607067396,0.607922841,NA,Mid Channel,-117.9164821,Diagonal,0.455442377,1.229485959,4.615464312,1.37807718,0.632455523,2.178931379,3.445193057,0.086637743,None,None,NA,NA,0.140723413,NA,NA,1029
101,Mid Channel Bar,Bc,47,NA,13.80000066,0.600511431,NA,Mid Channel,-6.146147939,Longitudinal,1.739371815,1.727141649,2.666488377,0.679958943,1.380618184,4.874628423,3.530757801,0.189125779,None,None,0,NA,0,NA,0.079999998,1029
102,Mid Channel Bar,Bc,48,NA,102.600305,0.438670436,Elongated,Mid Channel,20.46472095,Diagonal,1.607148827,1.573177266,6.855597155,9.240234618,3.206044985,21.21306213,6.616582807,0.439184245,None,None,0,NA,1.200039082,0.04,0.079999998,1029
103,Mid Channel Bar,Bc,53,NA,17.40000083,0.634507281,NA,Mid Channel,-138.0379653,Diagonal,2.072456324,1.878044582,3.87931431,4.349913599,1.795897201,5.679612932,3.162549019,0.246013315,None,None,0,NA,1.349886996,NA,0.079999998,1029
