,ValleyUnit,UnitShape,UnitForm,FormID,UnitID,Area,sthdNo.Redd,sthdNo.ReddBest,sthdSuitArea,sthdBestArea,sthdMedHSI,visit
23,In-Channel,Concavity,Bowl Transition,23,23,4.06000038,1,NA,2.040024334,NA,0.389999986,1027
24,In-Channel,Concavity,Bowl Transition,24,24,20.30999632,7,NA,10.49993067,0.630033992,0.409999996,1027
25,In-Channel,Concavity,Trough,25,25,63.03002398,19,2,59.49005869,2.059988148,0.560000002,1027
26,In-Channel,Concavity,Trough,26,26,2.580000246,2,1,2.580000246,1.880052532,0.910000026,1027
27,In-Channel,Concavity,Trough,27,27,3.070000296,2,1,3.070000296,1.020053464,0.75,1027
28,In-Channel,Concavity,Trough,28,28,36.58000346,17,8,36.58000346,18.81064903,0.800000012,1027
29,In-Channel,Concavity,Trough,29,29,2.74000026,NA,NA,2.080051589,NA,0.430000007,1027
30,In-Channel,Concavity,Trough,30,30,1.920000187,1,NA,0.449883578,NA,0.360000014,1027
31,In-Channel,Concavity,Trough,31,31,5.220000488,1,NA,1.199981218,0.759958257,0.289999992,1027
32,In-Channel,Concavity,Trough,32,32,44.61000427,11,NA,10.0801058,0.940085367,0.340000004,1027
33,In-Channel,Concavity,Trough,33,33,15.45000149,5,NA,13.57990964,1.760104907,0.720000029,1027
34,In-Channel,Concavity,Trough,34,34,42.78000405,15,4,38.29985923,4.890024879,0.600000024,1027
35,In-Channel,Concavity,Trough,35,35,1.680000158,2,2,1.680000158,1.259955708,0.800000012,1027
36,In-Channel,Concavity,Trough,36,36,5.830000552,2,2,5.910048826,3.140145068,0.800000012,1027
37,In-Channel,Concavity,Trough,37,37,1.410000138,1,NA,1.410000138,2.04E-09,0.639999986,1027
38,In-Channel,Concavity,Trough,38,38,1.590000151,1,NA,1.590000151,0.009998754,0.649999976,1027
39,In-Channel,Concavity,Trough,39,39,7.110000682,2,NA,5.119941301,NA,0.569999993,1027
40,In-Channel,Concavity,Trough,40,40,25.0099492,8,4,21.97002424,6.320513111,0.720000029,1027
41,In-Channel,Convexity,Mound,42,42,0.300016006,NA,NA,0.060010181,NA,0.300000012,1027
42,In-Channel,Convexity,Mound,43,43,5.789757635,NA,NA,0.679837355,NA,0.180000007,1027
43,In-Channel,Convexity,Mound,45,45,15.22091078,NA,NA,4.320768852,1.550382072,0.079999998,1027
44,In-Channel,Convexity,Mound,46,46,19.06972547,1,NA,12.92900564,4.839179888,0.670000017,1027
45,In-Channel,Convexity,Mound,47,47,2.0300002,1,NA,1.760034069,0.519993222,0.689999998,1027
46,In-Channel,Convexity,Mound,48,48,0.880000079,NA,NA,NA,NA,0.340000004,1027
47,In-Channel,Convexity,Mound,49,49,5.659532197,NA,NA,0.119947362,NA,0.079999998,1027
48,In-Channel,Convexity,Mound,50,50,4.229803724,NA,NA,1.119874443,0.689925998,0.140000001,1027
49,In-Channel,Convexity,Mound,51,51,19.09146434,NA,NA,5.080876536,0.780147551,0.079999998,1027
50,In-Channel,Convexity,Mound,52,52,0.84000008,NA,NA,0.82996614,0.009993444,0.689999998,1027
51,In-Channel,Convexity,Mound,53,53,5.28000051,2,NA,4.770134474,NA,0.660000026,1027
52,In-Channel,Convexity,Mound,55,55,2.290073063,1,NA,1.420107997,NA,0.649999976,1027
53,In-Channel,Convexity,Mound,56,56,9.389611641,NA,NA,3.819216911,NA,0.270000011,1027
54,In-Channel,Convexity,Mound,58,58,1.090000105,NA,NA,0.300015428,NA,0.079999998,1027
55,In-Channel,Convexity,Mound,59,59,6.330039949,NA,NA,0.880024543,5.44E-06,0.079999998,1027
56,In-Channel,Convexity,Mound,60,60,0.039997206,NA,NA,0.039997206,NA,0.689999998,1027
57,In-Channel,Convexity,Mound,61,61,13.58982386,1,NA,10.07954664,4.639670767,0.670000017,1027
58,In-Channel,Convexity,Mound Transition,62,62,0.690016044,1,NA,0.35002856,NA,0.300000012,1027
59,In-Channel,Convexity,Mound Transition,63,63,1.980000188,1,NA,1.269908016,NA,0.439999998,1027
60,In-Channel,Convexity,Mound Transition,64,64,0.960000096,NA,NA,0.949914178,NA,0.504999995,1027
61,In-Channel,Convexity,Mound Transition,65,65,14.31000136,2,NA,8.45045342,2.24001484,0.419999987,1027
62,In-Channel,Convexity,Mound Transition,66,66,6.130000585,2,2,6.130000583,3.809885943,0.910000026,1027
63,In-Channel,Convexity,Mound Transition,67,67,0.960000077,1,1,0.960000077,0.960000077,0.920000017,1027
64,In-Channel,Convexity,Mound Transition,68,68,20.17000189,3,2,20.17000189,15.95973568,0.920000017,1027
65,In-Channel,Convexity,Mound Transition,69,69,0.210000018,NA,NA,0.210000018,NA,0.449999988,1027
66,In-Channel,Convexity,Mound Transition,70,70,0.13000002,NA,NA,0.110002393,NA,0.439999998,1027
67,In-Channel,Convexity,Mound Transition,71,71,0.71000007,1,NA,NA,NA,0.340000004,1027
68,In-Channel,Convexity,Mound Transition,72,72,22.11952349,NA,NA,3.449686041,NA,0.079999998,1027
69,In-Channel,Convexity,Mound Transition,73,73,0.120000009,NA,NA,0.049987644,NA,0.260000005,1027
70,In-Channel,Convexity,Mound Transition,74,74,2.830000271,1,1,1.350000189,0.8999869,0.379999995,1027
71,In-Channel,Convexity,Mound Transition,75,75,0.290000026,NA,NA,0.290000026,NA,0.680000007,1027
72,In-Channel,Convexity,Mound Transition,76,76,0.310000029,NA,NA,0.310000029,NA,0.699999988,1027
73,In-Channel,Convexity,Mound Transition,77,77,19.4800641,3,1,15.84044283,0.640018968,0.660000026,1027
74,In-Channel,Convexity,Mound Transition,78,78,1.020000096,NA,NA,1.020000096,NA,0.689999998,1027
75,In-Channel,Convexity,Mound Transition,79,79,0.610000055,NA,NA,0.610000055,0.070055966,0.730000019,1027
76,In-Channel,Convexity,Mound Transition,80,80,1.250000114,NA,NA,1.250000114,NA,0.699999988,1027
77,In-Channel,Convexity,Mound Transition,81,81,11.49000109,2,NA,11.24969854,0.239963537,0.670000017,1027
78,In-Channel,Convexity,Mound Transition,82,82,4.509988855,NA,NA,3.239913779,NA,0.569999993,1027
79,In-Channel,Convexity,Mound Transition,83,83,0.700000067,NA,NA,0.070041862,NA,0.079999998,1027
80,In-Channel,Convexity,Mound Transition,84,84,0.150000015,NA,NA,NA,NA,0.079999998,1027
81,In-Channel,Convexity,Mound Transition,85,85,0.470000049,NA,NA,0.359993445,0.039994996,0.649999976,1027
82,In-Channel,Convexity,Mound Transition,86,86,0.319991632,1,NA,0.319991632,NA,0.730000019,1027
83,In-Channel,Convexity,Mound Transition,87,87,5.729994955,2,2,5.640024066,3.069994554,0.920000017,1027
84,In-Channel,Convexity,Saddle,88,88,53.93000511,19,12,49.16002971,15.42003747,0.629999995,1027
85,In-Channel,Convexity,Saddle,89,89,24.44000232,11,5,22.51994976,6.37994312,0.74000001,1027
86,In-Channel,Convexity,Saddle,90,90,19.27000184,4,1,6.089877325,0.689942612,0.300000012,1027
87,In-Channel,Convexity,Saddle,91,91,9.740000905,4,2,9.740000905,2.989880319,0.699999988,1027
88,In-Channel,Convexity,Saddle,92,92,182.2199903,93,31,177.3599178,45.93979467,0.75,1027
89,In-Channel,Planar,Plane,93,93,2.180000201,NA,NA,2.180000201,NA,0.519999981,1027
90,In-Channel,Planar,Plane,94,94,6.730004632,5,NA,6.279914242,NA,0.540000021,1027
91,In-Channel,Planar,Plane,95,95,36.50001943,12,NA,27.71039814,2.479896492,0.519999981,1027
92,In-Channel,Planar,Plane,96,96,7.730000743,2,1,7.649946495,5.479959341,0.910000026,1027
93,In-Channel,Planar,Plane,97,97,2.280000225,1,1,2.280000225,1.989968368,0.920000017,1027
94,In-Channel,Planar,Plane,98,98,1.1800001,1,NA,0.529928367,NA,0.38499999,1027
95,In-Channel,Planar,Plane,99,99,1.46000014,NA,NA,NA,NA,0.289999992,1027
96,In-Channel,Planar,Plane,100,100,65.46000363,21,8,49.35982265,19.69009052,0.449999988,1027
97,In-Channel,Planar,Plane,101,101,3.050000284,1,NA,1.190006631,0.860044436,0.379999995,1027
98,In-Channel,Planar,Plane,102,102,3.010000289,1,NA,1.98998798,0.169977796,0.660000026,1027
99,In-Channel,Planar,Plane,103,103,45.03000426,19,3,42.53998985,7.760286567,0.730000019,1027
100,In-Channel,Planar,Plane,104,104,9.130000874,3,1,9.010041307,1.289924271,0.699999988,1027
101,In-Channel,Planar,Plane,105,105,0.910000088,NA,NA,0.910000088,0.360000016,0.769999981,1027
102,In-Channel,Planar,Plane,106,106,18.66000177,6,NA,18.66000176,0.249976484,0.689999998,1027
103,In-Channel,Planar,Plane,107,107,1.109986117,1,NA,1.109986117,NA,0.735000014,1027
104,In-Channel,Planar,Plane,108,108,16.78997919,7,3,13.55011396,3.809980714,0.670000017,1027
105,In-Channel,Planar,Wall,109,109,0.479938517,NA,NA,0.119993385,NA,0.190000005,1027
106,In-Channel,Planar,Wall,110,110,3.99051243,NA,NA,0.120020895,NA,0.079999998,1027
107,In-Channel,Planar,Wall,111,111,0.050095448,NA,NA,NA,NA,0.079999998,1027
108,In-Channel,Planar,Wall,112,112,13.41877177,3,NA,3.379195687,NA,0.319999993,1027
109,In-Channel,Planar,Wall,113,113,5.649276688,NA,NA,1.519573789,0.139931255,0.370000005,1027
110,In-Channel,Planar,Wall,114,114,4.249484922,NA,NA,1.519741708,NA,0.419999987,1027
111,In-Channel,Planar,Wall,115,115,27.95185783,6,NA,13.28155656,1.320247205,0.419999987,1027
112,In-Channel,Planar,Wall,116,116,9.04E-06,NA,NA,NA,NA,0.079999998,1027
113,In-Channel,Planar,Wall,117,117,12.04101648,NA,NA,5.240875566,NA,0.540000021,1027
114,In-Channel,Planar,Wall,118,118,17.9608632,3,2,10.80119504,2.330010885,0.629999995,1027
115,In-Channel,Planar,Wall,119,119,30.81640904,2,NA,11.75800688,0.439838373,0.330000013,1027
116,In-Channel,Concavity,Bowl,1,1,9.949982446,NA,NA,10.04999188,0.350005654,0.610000014,1029
117,In-Channel,Concavity,Bowl,2,2,8.240000781,NA,NA,6.540010284,1.049949506,0.600000024,1029
118,In-Channel,Concavity,Bowl,3,3,0.73000007,NA,NA,0.73000007,0.040012009,0.589999974,1029
119,In-Channel,Concavity,Bowl,4,4,33.97000322,NA,NA,33.36001493,0.64,0.660000026,1029
120,In-Channel,Concavity,Bowl,5,5,10.62000101,NA,NA,9.669984938,0.73995556,0.670000017,1029
121,In-Channel,Concavity,Bowl,6,6,0.80000008,NA,NA,0.689982761,NA,0.49000001,1029
122,In-Channel,Concavity,Bowl,7,7,1.690000165,NA,NA,2.700012892,1.010012727,0.819999993,1029
123,In-Channel,Concavity,Bowl,8,8,0.880000084,NA,NA,0.880000084,NA,0.375,1029
124,In-Channel,Concavity,Bowl,9,9,1.690000163,NA,NA,0.089988978,NA,0.079999998,1029
125,In-Channel,Concavity,Bowl,10,10,1.550000154,NA,NA,0.159993013,NA,0.270000011,1029
126,In-Channel,Concavity,Bowl,11,11,6.380000603,NA,NA,0.029987668,NA,0.079999998,1029
127,In-Channel,Concavity,Bowl,12,12,8.25000079,NA,NA,6.999942033,0.179994436,0.540000021,1029
128,In-Channel,Concavity,Bowl,13,13,2.930000292,NA,NA,NA,NA,0.079999998,1029
129,In-Channel,Concavity,Bowl,14,14,15.13000143,NA,NA,0.029987467,NA,0.079999998,1029
130,In-Channel,Concavity,Bowl,15,15,14.81000141,NA,NA,13.71010838,0.580049963,0.670000017,1029
131,In-Channel,Concavity,Bowl,16,16,16.88002182,NA,NA,11.63001538,NA,0.439999998,1029
132,In-Channel,Concavity,Bowl,17,17,25.89000246,NA,NA,16.75986402,0.340008687,0.5,1029
133,In-Channel,Concavity,Bowl,18,18,8.570000816,NA,NA,NA,NA,0.079999998,1029
134,In-Channel,Concavity,Bowl,19,19,22.61000216,NA,NA,14.94986619,NA,0.529999971,1029
135,In-Channel,Concavity,Bowl,20,20,1.480000154,NA,NA,1.480000154,4.29E-06,0.720000029,1029
136,In-Channel,Concavity,Bowl Transition,21,21,0.180000014,NA,NA,NA,NA,0.300000012,1029
137,In-Channel,Concavity,Bowl Transition,22,22,1.120000109,NA,NA,0.069968665,NA,0.300000012,1029
138,In-Channel,Concavity,Bowl Transition,23,23,1.620000143,NA,NA,1.530028523,NA,0.680000007,1029
139,In-Channel,Concavity,Bowl Transition,25,25,0.100000015,NA,NA,0.100000015,NA,0.814999998,1029
140,In-Channel,Concavity,Bowl Transition,26,26,12.50000118,NA,NA,5.690055581,0.180040102,0.340000004,1029
141,In-Channel,Concavity,Bowl Transition,27,27,4.730000445,NA,NA,1.990030001,1.139993934,0.300000012,1029
142,In-Channel,Concavity,Bowl Transition,28,28,11.42000108,NA,NA,12.28988463,2.719961799,0.730000019,1029
143,In-Channel,Concavity,Bowl Transition,29,29,14.8000014,NA,NA,10.97000532,NA,0.389999986,1029
144,In-Channel,Concavity,Bowl Transition,30,30,2.490032575,NA,NA,6.99E-06,NA,0.079999998,1029
145,In-Channel,Concavity,Bowl Transition,31,31,7.000066727,NA,NA,1.030040336,NA,0.079999998,1029
146,In-Channel,Concavity,Bowl Transition,32,32,1.660000164,NA,NA,1.329982953,0.269997132,0.670000017,1029
147,In-Channel,Concavity,Bowl Transition,33,33,0.140000013,NA,NA,NA,NA,0.079999998,1029
148,In-Channel,Concavity,Bowl Transition,34,34,0.420000039,NA,NA,0.339998564,0.210021955,0.829999983,1029
149,In-Channel,Concavity,Bowl Transition,35,35,0.280000024,NA,NA,0.03000552,NA,0.079999998,1029
150,In-Channel,Concavity,Bowl Transition,36,36,2.390000229,NA,NA,0.94997773,NA,0.310000002,1029
151,In-Channel,Concavity,Bowl Transition,37,37,20.7200136,NA,NA,18.36005212,3.829972424,0.709999979,1029
152,In-Channel,Concavity,Trough,38,38,4.53004338,NA,NA,2.819980305,0.04,0.620000005,1029
153,In-Channel,Concavity,Trough,39,39,20.94997169,NA,NA,12.14001521,0.469956504,0.519999981,1029
154,In-Channel,Concavity,Trough,41,41,1.570000152,NA,NA,1.020035274,NA,0.529999971,1029
155,In-Channel,Concavity,Trough,42,42,23.19000221,NA,NA,22.81005012,5.930109405,0.680000007,1029
156,In-Channel,Concavity,Trough,43,43,36.46000346,NA,NA,33.11995276,16.37987119,0.779999971,1029
157,In-Channel,Concavity,Trough,44,44,13.84991045,NA,NA,9.219970902,2.430074456,0.600000024,1029
158,In-Channel,Concavity,Trough,45,45,0.770000084,NA,NA,NA,NA,0.170000002,1029
159,In-Channel,Concavity,Trough,46,46,3.290000315,NA,NA,0.819973864,NA,0.079999998,1029
160,In-Channel,Concavity,Trough,47,47,0.639978476,NA,NA,NA,NA,0.079999998,1029
161,In-Channel,Concavity,Trough,48,48,3.669995821,NA,NA,0.050012462,NA,0.079999998,1029
162,In-Channel,Concavity,Trough,49,49,12.33004901,NA,NA,1.389983225,NA,0.079999998,1029
163,In-Channel,Concavity,Trough,50,50,11.30010616,NA,NA,7.270130814,NA,0.469999999,1029
164,In-Channel,Concavity,Trough,51,51,2.430000226,NA,NA,2.070014171,0.260002922,0.569999993,1029
165,In-Channel,Concavity,Trough,52,52,13.11000124,NA,NA,5.260126384,1.680097771,0.219999999,1029
166,In-Channel,Concavity,Trough,53,53,6.370000602,NA,NA,6.339982311,1.180001804,0.600000024,1029
167,In-Channel,Concavity,Trough,54,54,2.470000244,NA,NA,2.400013717,NA,0.680000007,1029
168,In-Channel,Concavity,Trough,55,55,93.7500897,NA,NA,82.88029206,11.75000439,0.689999998,1029
169,In-Channel,Concavity,Trough,56,56,6.429812902,NA,NA,2.499760825,0.059993143,0.190000005,1029
170,In-Channel,Convexity,Mound,57,57,0.920000124,NA,NA,NA,NA,0.079999998,1029
171,In-Channel,Convexity,Mound,58,58,6.889708952,NA,NA,0.559882971,NA,0.079999998,1029
172,In-Channel,Convexity,Mound,59,59,0.919994828,NA,NA,0.020019119,NA,0.079999998,1029
173,In-Channel,Convexity,Mound,60,60,4.46E-06,NA,NA,NA,NA,NA,1029
174,In-Channel,Convexity,Mound,61,61,1.780238088,NA,NA,0.360008177,NA,0.079999998,1029
175,In-Channel,Convexity,Mound,62,62,2.259998705,NA,NA,0.560053567,0.100018019,0.209999993,1029
176,In-Channel,Convexity,Mound,63,63,3.040023775,NA,NA,1.240025377,NA,0.360000014,1029
177,In-Channel,Convexity,Mound,67,67,0.12000356,NA,NA,NA,NA,NA,1029
178,In-Channel,Convexity,Mound,68,68,10.07033728,NA,NA,1.420074618,0.040001494,0.079999998,1029
179,In-Channel,Convexity,Mound,69,69,0.150058656,NA,NA,NA,NA,0.079999998,1029
180,In-Channel,Convexity,Mound,70,70,0.570025706,NA,NA,NA,NA,0.079999998,1029
181,In-Channel,Convexity,Mound,71,71,0.829987766,NA,NA,NA,NA,0.079999998,1029
182,In-Channel,Convexity,Mound,72,72,5.829845711,NA,NA,0.619933724,NA,0.079999998,1029
183,In-Channel,Convexity,Mound,73,73,6.27954686,NA,NA,2.279762046,0.209971367,0.340000004,1029
184,In-Channel,Convexity,Mound,74,74,3.570000339,NA,NA,2.059990023,NA,0.479999989,1029
185,In-Channel,Convexity,Mound,75,75,3.779896823,NA,NA,1.029897993,NA,0.079999998,1029
186,In-Channel,Convexity,Mound,76,76,3.640097806,NA,NA,1.170030579,0.190032978,0.149999999,1029
187,In-Channel,Convexity,Mound,78,78,1.280000123,NA,NA,0.919979772,NA,0.460000008,1029
188,In-Channel,Convexity,Mound,79,79,5.860000557,NA,NA,5.769913322,2.08998054,0.709999979,1029
189,In-Channel,Convexity,Mound,80,80,1.410119395,NA,NA,0.380101507,2.72E-06,0.079999998,1029
190,In-Channel,Convexity,Mound,81,81,0.980032432,NA,NA,0.779978476,0.119993262,0.670000017,1029
191,In-Channel,Convexity,Mound,82,82,4.619955731,NA,NA,1.73986719,NA,0.079999998,1029
192,In-Channel,Convexity,Mound,83,83,0.080042331,NA,NA,NA,NA,0.079999998,1029
193,In-Channel,Convexity,Mound,84,84,24.29025997,NA,NA,2.760032352,0.459993196,0.079999998,1029
194,In-Channel,Convexity,Mound,85,85,1.820237789,NA,NA,NA,NA,0.079999998,1029
195,In-Channel,Convexity,Mound Transition,86,86,0.190000016,NA,NA,0.190000016,NA,0.660000026,1029
196,In-Channel,Convexity,Mound Transition,87,87,1.240000121,NA,NA,0.250025518,NA,0.360000014,1029
197,In-Channel,Convexity,Mound Transition,88,88,1.78E-05,NA,NA,NA,NA,0.079999998,1029
198,In-Channel,Convexity,Mound Transition,89,89,0.420006598,NA,NA,0.080005683,8.95E-06,0.315000005,1029
199,In-Channel,Convexity,Mound Transition,90,90,3.429991912,NA,NA,2.559781919,0.139968625,0.639999986,1029
200,In-Channel,Convexity,Mound Transition,91,91,1.990000196,NA,NA,0.690054196,0.440061496,0.079999998,1029
201,In-Channel,Convexity,Mound Transition,92,92,0.150000011,NA,NA,0.150000011,0.150000011,0.920000017,1029
202,In-Channel,Convexity,Mound Transition,93,93,0.180000019,NA,NA,0.180000019,0.179995532,0.920000017,1029
203,In-Channel,Convexity,Mound Transition,94,94,0.160000017,NA,NA,0.160000017,0.159982069,0.920000017,1029
204,In-Channel,Convexity,Mound Transition,95,95,0.300000029,NA,NA,0.269991971,0.010007098,0.534999996,1029
205,In-Channel,Convexity,Mound Transition,96,96,0.180000019,NA,NA,6.54E-10,NA,NA,1029
206,In-Channel,Convexity,Mound Transition,97,97,3.160319151,NA,NA,0.460033803,4.40E-06,0.079999998,1029
207,In-Channel,Convexity,Mound Transition,98,98,0.720000064,NA,NA,0.620010745,0.280015236,0.650000006,1029
208,In-Channel,Convexity,Mound Transition,99,99,0.560000049,NA,NA,0.280008663,0.279995531,0.920000017,1029
209,In-Channel,Convexity,Mound Transition,100,100,0.210000022,NA,NA,0.05999718,NA,NA,1029
210,In-Channel,Convexity,Mound Transition,101,101,2.480000229,NA,NA,2.480000229,2.360000229,0.920000017,1029
211,In-Channel,Convexity,Mound Transition,102,102,1.780000171,NA,NA,0.52003119,0.010002861,0.300000012,1029
212,In-Channel,Convexity,Mound Transition,103,103,1.319994835,NA,NA,0.449997931,0.190002042,0.079999998,1029
213,In-Channel,Convexity,Mound Transition,104,104,5.470000506,NA,NA,3.720062287,NA,0.50999999,1029
214,In-Channel,Convexity,Mound Transition,105,105,0.489993962,NA,NA,NA,NA,NA,1029
215,In-Channel,Convexity,Mound Transition,106,106,0.139992653,NA,NA,0.010002854,NA,NA,1029
216,In-Channel,Convexity,Mound Transition,107,107,0.059995731,NA,NA,NA,NA,NA,1029
217,In-Channel,Convexity,Mound Transition,109,109,1.29E-05,NA,NA,NA,NA,NA,1029
218,In-Channel,Convexity,Mound Transition,110,110,1.48E-06,NA,NA,NA,NA,NA,1029
219,In-Channel,Convexity,Mound Transition,112,112,0.010007156,NA,NA,NA,NA,NA,1029
220,In-Channel,Convexity,Mound Transition,113,113,0.259986259,NA,NA,2.93E-06,NA,NA,1029
221,In-Channel,Convexity,Mound Transition,117,117,0.019998574,NA,NA,NA,NA,NA,1029
222,In-Channel,Convexity,Mound Transition,118,118,0.330044375,NA,NA,0.05003577,NA,0.079999998,1029
223,In-Channel,Convexity,Mound Transition,119,119,0.569999653,NA,NA,NA,NA,0.079999998,1029
224,In-Channel,Convexity,Mound Transition,120,120,0.509954109,NA,NA,NA,NA,0.079999998,1029
225,In-Channel,Convexity,Mound Transition,121,121,3.469858855,NA,NA,0.979904383,NA,0.079999998,1029
226,In-Channel,Convexity,Mound Transition,122,122,0.350002875,NA,NA,NA,NA,0.079999998,1029
227,In-Channel,Convexity,Mound Transition,123,123,0.260026689,NA,NA,NA,NA,0.079999998,1029
228,In-Channel,Convexity,Mound Transition,124,124,0.229991538,NA,NA,NA,NA,0.079999998,1029
229,In-Channel,Convexity,Mound Transition,125,125,0.23000003,NA,NA,NA,NA,0.079999998,1029
230,In-Channel,Convexity,Mound Transition,126,126,0.100000011,NA,NA,0.02000542,NA,0.079999998,1029
231,In-Channel,Convexity,Mound Transition,127,127,5.679953496,NA,NA,3.589954325,0.059998526,0.660000026,1029
232,In-Channel,Convexity,Mound Transition,128,128,1.639934217,NA,NA,0.77996445,0.030020014,0.230000004,1029
233,In-Channel,Convexity,Mound Transition,130,130,0.170000016,NA,NA,0.020008223,NA,0.300000012,1029
234,In-Channel,Convexity,Mound Transition,131,131,0.31000003,NA,NA,0.049990591,NA,0.280000001,1029
235,In-Channel,Convexity,Mound Transition,132,132,0.820000083,NA,NA,0.820000083,0.050012412,0.699999988,1029
236,In-Channel,Convexity,Mound Transition,133,133,0.150000013,NA,NA,0.150000013,NA,0.639999986,1029
237,In-Channel,Convexity,Mound Transition,134,134,8.479968996,NA,NA,5.259819836,1.329914736,0.639999986,1029
238,In-Channel,Convexity,Mound Transition,135,135,0.199998657,NA,NA,NA,NA,0.079999998,1029
239,In-Channel,Convexity,Mound Transition,136,136,5.260199737,NA,NA,0.940139837,0.019992766,0.079999998,1029
240,In-Channel,Convexity,Mound Transition,137,137,0.120012136,NA,NA,0.120012136,0.010000064,0.704999983,1029
241,In-Channel,Convexity,Mound Transition,138,138,1.460000142,NA,NA,0.820052105,0.030006853,0.670000017,1029
242,In-Channel,Convexity,Mound Transition,139,139,0.250012149,NA,NA,0.250012149,0.110001351,0.764999986,1029
243,In-Channel,Convexity,Mound Transition,140,140,0.280019021,NA,NA,NA,NA,0.079999998,1029
244,In-Channel,Convexity,Mound Transition,141,141,4.610000437,NA,NA,2.4099628,0.019993105,0.5,1029
245,In-Channel,Convexity,Mound Transition,143,143,0.30997978,NA,NA,NA,NA,0.079999998,1029
246,In-Channel,Convexity,Mound Transition,144,144,18.33020347,NA,NA,8.370191142,1.349991412,0.344999999,1029
247,In-Channel,Convexity,Mound Transition,145,145,8.48E-06,NA,NA,NA,NA,0.079999998,1029
248,In-Channel,Convexity,Mound Transition,146,146,10.7599082,NA,NA,2.339891562,0.269984397,0.079999998,1029
249,In-Channel,Convexity,Saddle,148,148,23.89014152,NA,NA,16.37011007,7.200062952,0.600000024,1029
250,In-Channel,Convexity,Saddle,149,149,5.370000513,NA,NA,5.439978283,1.149933478,0.74000001,1029
251,In-Channel,Convexity,Saddle,150,150,7.830000749,NA,NA,7.750009709,3.030015217,0.730000019,1029
252,In-Channel,Convexity,Saddle,151,151,3.080000295,NA,NA,3.280000295,0.2,0.660000026,1029
253,In-Channel,Convexity,Saddle,152,152,13.62988279,NA,NA,0.519995881,NA,0.079999998,1029
254,In-Channel,Convexity,Saddle,153,153,24.5398128,NA,NA,12.84024861,3.630017217,0.50999999,1029
255,In-Channel,Convexity,Saddle,154,154,4.959996273,NA,NA,0.330002972,NA,0.079999998,1029
256,In-Channel,Convexity,Saddle,155,155,22.63000214,NA,NA,18.6698962,3.469968469,0.680000007,1029
257,In-Channel,Convexity,Saddle,156,156,11.66005672,NA,NA,5.189953614,0.060000162,0.349999994,1029
258,In-Channel,Planar,Plane,157,157,6.569984825,NA,NA,4.300087568,0.140022399,0.649999976,1029
259,In-Channel,Planar,Plane,158,158,6.289982103,NA,NA,5.299927526,0.61003879,0.670000017,1029
260,In-Channel,Planar,Plane,160,160,2.400000231,NA,NA,1.940035067,1.080008331,0.730000019,1029
261,In-Channel,Planar,Plane,161,161,0.870000088,NA,NA,0.870000088,0.319983644,0.720000029,1029
