"","VisitID","BFArea","WEArea","MainThalwegL","ThalwegsL","ThalwegR","BordersbyArea","No.GU","EdgeDensMainT","EdgeDensXS"
"66",3620,2308,1005,217,619,0.35,2.45,364,0.39,1.88
"67",3637,1063,736,290,312,0.93,3.42,206,0.49,4.11
"68",3701,8883,7518,532,990,0.54,1.03,238,0.23,0.86
"69",372,1241,579,165,251,0.66,2.18,152,0.49,1.64
"70",3949,2281,1965,217,372,0.58,1.62,125,0.33,1.67
"71",3975,1415,987,204,274,0.75,2.58,135,0.21,3.13
"72",3979,23491,16309,540,2063,0.26,0.81,329,0.14,0.73
"73",3983,3877,2999,285,366,0.78,1.23,133,0.29,1.2
"74",3991,903,494,129,163,0.79,1.98,81,0.41,2.33
"75",4000,15342,9618,494,945,0.52,0.62,83,0.1,0.64
"76",4024,19919,11762,596,1068,0.56,0.45,87,0.09,0.47
"77",4086,24006,14504,646,1371,0.47,0.52,147,0.12,0.44
"78",4147,7618,5173,279,1008,0.28,1.27,246,0.22,0.73
"79",4179,5723,4271,371,707,0.52,1.28,176,0.22,1.08
"80",4182,4204,3161,312,338,0.93,1.03,70,0.21,1.14
"81",547,405,371,147,202,0.73,3.9,208,0.99,4.04
"82",548,665,548,153,169,0.91,2.86,162,0.73,3.12
"83",664,540,350,120,174,0.69,3.34,162,0.79,3.32
"84",681,2672,2447,270,438,0.62,1.46,137,0.32,1.38
"85",685,7811,6473,402,567,0.71,0.77,104,0.11,0.84
"86",686,1318,1231,169,277,0.61,1.73,88,0.34,1.87
"87",699,662,543,117,172,0.68,2.71,103,0.75,2.63
"88",701,565,422,124,169,0.74,2.8,139,0.81,2.79
"89",738,3100,1924,207,258,0.8,0.98,62,0.2,1.16
"90",747,946,510,126,154,0.82,1.97,104,0.69,1.98
"91",797,1265,520,168,262,0.64,2.22,164,0.44,2.31
"92",806,743,448,127,127,1,2.4,115,0.75,2.56
"93",820,470,367,128,161,0.79,3.26,139,0.84,3.53
"94",85,382,292,107,118,0.91,3.48,143,1.16,3.73
"95",895,2510,2262,200,346,0.58,1.34,129,0.46,1.23
"96",916,5153,4726,330,582,0.57,1.02,124,0.13,1.14
"97",937,705,474,169,209,0.81,3.3,211,0.81,3.24
"98",1029,1704,1209,175,400,2.29,1.99,183,0.41,1.73
"99",1164,936,568,124,187,1.51,2.03,96,0.52,2.12
"100",157,468,226,116,150,1.29,2.75,100,0.6,3.27
"101",1596,7744,5713,301,720,2.39,0.79,106,0.15,NA
"102",1621,509,413,120,141,1.18,2.88,142,0.86,NA
"103",1783,9977,8545,336,478,1.42,0.57,73,0.16,NA
"104",1793,9978,9090,321,540,1.68,0.54,80,0.11,NA
"105",1846,11988,7566,374,639,1.71,0.54,82,0.11,NA
"106",2027,14356,10352,626,947,1.51,0.72,128,0.14,0.69
"107",2271,702,414,126,247,1.96,3.42,297,0.98,2.65
"108",2898,19212,15009,657,764,1.16,NA,NA,NA,NA
"109",3297,21876,13365,645,1846,2.86,NA,NA,NA,NA
"110",3512,3658,3378,241,676,2.8,1.53,233,0.36,1.16
"111",665,972,770,163,172,1.06,2.36,104,0.37,NA
"112",920,1078,874,165,294,1.78,2.28,180,0.62,NA
